Designator,Mid X,Mid Y,Layer,Rotation,Raw Y
D1,29.36,-143.2,Top,0,-143.2
D2,66.079,-110.669,Top,180,-110.669
D68,192.317,-72.569,Top,180,-72.569
D69,173.267,-72.569,Top,180,-72.569
D70,201.842,-91.619,Top,180,-91.619
D71,182.792,-91.619,Top,180,-91.619
D72,101.766,-41.2,Top,180,-41.2
D73,197.12,-129.719,Top,180,-129.719
D74,158.866,-41.2,Top,180,-41.2
D75,206.541,-110.669,Top,180,-110.669
D76,187.491,-110.669,Top,180,-110.669
D77,192.444,-148.896,Top,180,-148.896
D78,216.066,-41.2,Top,180,-41.2
D79,211.367,-72.588,Top,180,-72.588
D80,154.217,-72.569,Top,180,-72.569
D81,220.892,-91.619,Top,180,-91.619
D82,163.742,-91.619,Top,180,-91.619
D83,225.718,-110.669,Top,180,-110.669
D84,168.441,-110.669,Top,180,-110.669
D85,216.066,-129.719,Top,180,-129.719
D86,177.966,-129.846,Top,180,-129.846
D87,230.29,-72.569,Top,180,-72.569
D88,135.09,-72.515,Top,180,-72.515
D89,239.942,-91.619,Top,180,-91.619
D90,144.692,-91.619,Top,180,-91.619
D91,244.641,-110.669,Top,180,-110.669
D92,149.391,-110.669,Top,180,-110.669
D93,235.116,-129.719,Top,180,-129.719
D94,158.878,-129.846,Top,180,-129.846
D95,249.467,-72.569,Top,180,-72.569
D96,116.117,-72.569,Top,180,-72.569
D97,258.992,-91.619,Top,180,-91.619
D98,125.642,-91.619,Top,180,-91.619
D99,263.691,-110.669,Top,180,-110.669
D100,130.341,-110.669,Top,180,-110.669
D101,254.166,-129.719,Top,180,-129.719
D102,139.812,-129.792,Top,180,-129.792
D103,268.39,-72.569,Top,180,-72.569
D104,97.067,-72.569,Top,180,-72.569
D105,278.042,-91.619,Top,180,-91.619
D106,106.592,-91.619,Top,180,-91.619
D107,282.868,-110.669,Top,180,-110.669
D108,111.29,-110.669,Top,180,-110.669
D109,273.216,-129.719,Top,180,-129.719
D110,120.828,-129.846,Top,180,-129.846
D111,287.594,-72.496,Top,180,-72.496
D112,78.017,-72.569,Top,180,-72.569
D113,297.092,-91.619,Top,180,-91.619
D114,87.542,-91.619,Top,180,-91.619
D115,301.791,-110.669,Top,180,-110.669
D116,92.241,-110.669,Top,180,-110.669
D117,325.667,-129.719,Top,180,-129.719
D118,101.712,-129.792,Top,180,-129.792
D119,316.134,-72.642,Top,180,-72.642
D120,58.967,-72.569,Top,180,-72.569
D121,304.966,-91.619,Top,0,-91.619
D122,63.666,-91.619,Top,180,-91.619
D123,130.468,-41.2,Top,180,-41.2
D124,323.254,-110.669,Top,180,-110.669
D125,187.618,-41.2,Top,180,-41.2
D126,264.834,-148.896,Top,180,-148.896
D127,119.673,-148.769,Top,180,-148.769
D128,70.778,-129.846,Top,180,-129.846
JP1,40.029,-113.59,Top,-90,-113.59
JP2,34.964,-90.984,Top,90,-90.984
JP3,332.683,-46.477,Top,0,-46.477
R1,187.11,-55.725625,Top,180,-55.725625
