Designator,MidX,MidY,Layer,Rotation
D2,66.079,-110.669,top,180
D68,192.317,-72.569,top,180
D69,173.267,-72.569,top,180
D70,201.842,-91.619,top,180
D71,182.792,-91.619,top,180
D72,101.766,-41.2,top,180
D73,197.12,-129.719,top,180
D74,158.866,-41.2,top,180
D75,206.541,-110.669,top,180
D76,187.491,-110.669,top,180
D77,192.444,-148.896,top,180
D78,216.066,-41.2,top,180
D79,211.367,-72.588,top,180
D80,154.217,-72.569,top,180
D81,220.892,-91.619,top,180
D82,163.742,-91.619,top,180
D83,225.718,-110.669,top,180
D84,168.441,-110.669,top,180
D85,216.066,-129.719,top,180
D86,177.966,-129.846,top,180
D87,230.29,-72.569,top,180
D88,135.09,-72.515,top,180
D89,239.942,-91.619,top,180
D90,144.692,-91.619,top,180
D91,244.641,-110.669,top,180
D92,149.391,-110.669,top,180
D93,235.116,-129.719,top,180
D94,158.878,-129.846,top,180
D95,249.467,-72.569,top,180
D96,116.117,-72.569,top,180
D97,258.992,-91.619,top,180
D98,125.642,-91.619,top,180
D99,263.691,-110.669,top,180
D100,130.341,-110.669,top,180
D101,254.166,-129.719,top,180
D102,139.812,-129.792,top,180
D103,268.39,-72.569,top,180
D104,97.067,-72.569,top,180
D105,278.042,-91.619,top,180
D106,106.592,-91.619,top,180
D107,282.868,-110.669,top,180
D108,111.29,-110.669,top,180
D109,273.216,-129.719,top,180
D110,120.828,-129.846,top,180
D111,287.594,-72.496,top,180
D112,78.017,-72.569,top,180
D113,297.092,-91.619,top,180
D114,87.542,-91.619,top,180
D115,301.791,-110.669,top,180
D116,92.241,-110.669,top,180
D117,325.667,-129.719,top,180
D118,101.712,-129.792,top,180
D119,316.134,-72.642,top,180
D120,58.967,-72.569,top,180
D121,304.966,-91.619,top,0
D122,63.666,-91.619,top,180
D123,130.468,-41.2,top,180
D124,323.254,-110.669,top,180
D125,187.618,-41.2,top,180
D126,264.834,-148.896,top,180
D127,119.673,-148.769,top,180
D128,70.778,-129.846,top,180
R1,187.11,-55.725625,top,180
R2,168.06,-55.678,top,180
R3,196.762,-74.728,top,180
R4,177.585,-74.728,top,180
R5,96.686,-24.182,top,180
R6,191.8725,-112.875625,top,180
R7,153.836,-24.182,top,180
R8,201.334,-93.778,top,180
R9,182.3475,-93.778,top,180
R10,187.11,-131.925625,top,180
R11,210.986,-24.182,top,180
R12,206.097,-55.678,top,180
R13,149.01,-55.678,top,180
R14,215.812,-74.728,top,180
R15,158.662,-74.728,top,180
R16,220.638,-93.778,top,180
R17,163.488,-93.778,top,180
R18,210.986,-112.828,top,180
R19,172.8225,-112.875625,top,180
R20,225.21,-55.678,top,180
R21,130.214,-55.678,top,180
R22,234.862,-74.728,top,180
R23,139.612,-74.728,top,180
R24,239.434,-93.778,top,180
R25,144.438,-93.778,top,180
R26,230.036,-112.828,top,180
R27,153.836,-112.828,top,180
R28,244.514,-55.678,top,180
R29,111.164,-55.678,top,180
R30,253.912,-74.728,top,180
R31,120.562,-74.728,top,180
R32,258.484,-93.778,top,180
R33,125.388,-93.524,top,180
R34,249.086,-112.828,top,180
R35,134.786,-112.828,top,180
R36,263.564,-55.678,top,180
R37,91.86,-55.678,top,180
R38,272.835,-74.728,top,180
R39,101.512,-74.728,top,180
R40,277.534,-93.778,top,180
R41,106.084,-93.778,top,180
R42,268.136,-112.828,top,180
R43,115.6725,-112.875625,top,180
R44,282.36,-55.678,top,180
R45,72.81,-55.678,top,180
R46,291.758,-74.728,top,180
R47,82.208,-74.728,top,180
R48,296.584,-93.778,top,180
R49,87.034,-93.778,top,180
R50,320.46,-112.828,top,180
R51,96.6225,-112.875625,top,180
R52,295.568,-55.424,top,180
R53,53.76,-55.678,top,0
R54,306.236,-75.236,top,90
R55,58.677,-74.728,top,180
R56,125.388,-24.182,top,180
R57,330.874,-98.604,top,-90
R58,182.284,-24.182,top,180
R59,294.298,-112.828,top,180
R60,326.556,-55.424,top,0
R61,114.481875,-131.925625,top,180
R62,65.634742,-112.875625,top,180
R63,239.4975,-24.182,top,180
R64,268.136,-24.182,top,180
R65,296.838,-24.182,top,180
R66,325.286,-24.182,top,180
R67,60.809,-93.778,top,180
R68,259.738125,-131.925625,top,0
SW0,244.26,-58.98,Top,180
SW1,72.81,-58.98,Top,180
SW2,91.86,-58.98,Top,180
SW3,110.91,-58.98,Top,180
