Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C9",0603,82,104, C83054
"D1, D101, D103, D105, D107, D109, D11, D111, D113, D115, D117, D119, D121, D123, D125, D127, D129, D13, D131, D133, D135, D137, D139, D141, D143, D145, D147, D149, D15, D151, D153, D155, D157, D159, D161, D163, D17, D19, D21, D23, D25, D27, D29, D3, D31, D33, D35, D37, D39, D41, D43, D45, D47, D49, D5, D51, D53, D55, D57, D59, D61, D63, D65, D67, D69, D7, D71, D73, D75, D77, D79, D81, D83, D85, D87, D89, D9, D91, D93, D95, D97, D99",D_SOD-123,82,1N4148W,C181134
"D10, D100, D102, D104, D106, D108, D110, D112, D114, D116, D118, D12, D120, D122, D124, D126, D128, D130, D132, D134, D136, D138, D14, D140, D142, D144, D146, D148, D150, D152, D154, D156, D158, D16, D160, D162, D164, D18, D2, D20, D22, D24, D26, D28, D30, D32, D34, D36, D38, D4, D40, D42, D44, D46, D48, D50, D52, D54, D56, D58, D6, D60, D62, D64, D66, D68, D70, D72, D74, D76, D78, D8, D80, D82, D84, D86, D88, D90, D92, D94, D96, D98",SK6809-EC15,82,SK6805,C2909055
J1,PinSocket_2x12_P2.54mm_Vertical,1,Conn_01x24_Pin,
"R1, R2",0603,2,200Ω,C2907123
SW1,GT-EVA01AA-L1,1,RotaryEncoder_Switch,C17702124
"SW10, SW11, SW12, SW13, SW14, SW15, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW61, SW62, SW63, SW64, SW7, SW8, SW9",Kailh_socket_MX_1-00U,56,SW_Push,C5156480
SW16,Kailh_socket_MX_2-00U,1,SW_Push,C5156480
"SW35, SW4",Kailh_socket_MX_1-50U,2,SW_Push,C5156480
SW36,Kailh_socket_MX_1-75U,1,SW_Push,C5156480
"SW48, SW49",Kailh_socket_MX_2-25U,2,SW_Push,C5156480
SW60,Kailh_socket_MX_2-75U,1,SW_Push,C5156480
"SW65, SW66, SW67, SW69, SW70, SW71, SW72",Kailh_socket_MX_1-25U,7,SW_Push,C5156480
SW68,Kailh_socket_MX_6-25U,1,SW_Push,C5156480
"SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW80, SW81, SW82, SW83",Kailh_socket_Choc_1-50U-XE,11,SW_Push,C5333465
U1,RaspberryPi_Pico_W_SMD,1,RaspberryPi_Pico,C7203003
U2,SSD1306,1,~,
