Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C33, C36, C37, C38, C4, C40, C5, C6, C7, C8, C9",0603,33,100nF,C14663
"C20, C21, C39, C42",0603,4,10uF,C19702
"C31, C32, C43",0603,3,1uF,C15849
"C34, C35",0603,2,15pF,C1644
C41,CP_Elec_10x10.5,1,220uF,C365680
"D1, D11, D13, D15, D17, D19, D21, D23, D25, D27, D29, D3, D31, D33, D35, D37, D5, D7, D9",D_SOD-123,19,1N4148W,C181134
"D10, D12, D14, D16, D18, D2, D20, D22, D24, D26, D28, D30, D32, D34, D36, D38, D39, D4, D40, D41, D6, D8",SK6812 MINI-EA,22,SK6812MINI,C5149201
F1,1206,1,100mA,C269108
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C709357
"R1, R2",0603,2,27R,C103492
"R4, R5",0603,2,1k,C5220830
"R6, R7",0603,2,5k1,C186203
SW1,SW_Push_1P1T_XKB_TS-1177A-C,1,BOOTSEL,C883269
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW18, SW20, SW4, SW5, SW6, SW7, SW9",Kailh_socket_MX_1-00U,14,MX,C5156480
"SW17, SW8",Kailh_socket_MX_2-00U_V,2,2UvMX,C5156480
SW19,Kailh_socket_MX_2-00U,1,2UMX,C5156480
"SW2, SW3",Kailh_socket_Choc_1-50U-XE,2,Choc,C5333465
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C146799
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,QSOP-16_3.9x4.9mm_P0.635mm,1,CH334R,C4154405
U5,TSOT-23,1,CH213,C5456874
Y1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
