Designator,Mid X,Mid Y,Rotation,Layer
C1,48.19,-34.390001,90.0,bottom
C10,71.29,-85.090001,90.0,bottom
C11,52.29,-104.190001,90.0,bottom
C12,71.29,-104.190001,90.0,bottom
C13,52.29,-123.290001,90.0,bottom
C14,33.29,-104.190001,90.0,bottom
C15,71.29,-123.290001,90.0,bottom
C16,89.59,-121.490001,0.0,bottom
C17,33.29,-123.190001,90.0,bottom
C18,27.49,-145.090001,90.0,bottom
C19,71.29,-142.240001,90.0,bottom
C2,84.79,-33.490001,180.0,bottom
C20,49.911,-52.070001,180.0,bottom
C21,43.307,-48.006001,0.0,bottom
C22,59.563,-48.006001,0.0,bottom
C23,59.563,-49.530001,0.0,bottom
C24,64.389,-45.212001,90.0,bottom
C25,72.263,-49.784001,90.0,bottom
C26,67.465,-45.190001,90.0,bottom
C27,71.165,-54.690001,180.0,bottom
C28,67.945,-56.642001,270.0,bottom
C29,64.389,-56.642001,270.0,bottom
C3,33.19,-66.040001,90.0,bottom
C30,59.565,-44.966001,0.0,bottom
C31,59.565,-46.490001,0.0,bottom
C32,68.965,-45.190001,90.0,bottom
C33,80.645,-49.784001,0.0,bottom
C34,56.261,-54.864001,0.0,bottom
C35,56.261,-49.276001,180.0,bottom
C36,90.29,-94.690001,90.0,bottom
C37,42.69,-142.290001,90.0,bottom
C38,90.39,-132.790001,90.0,bottom
C39,42.291,-32.766001,270.0,bottom
C4,51.19,-67.390001,0.0,bottom
C40,43.815,-32.766001,270.0,bottom
C41,64.643,-36.322001,270.0,bottom
C42,41.783,-23.368001,90.0,bottom
C43,30.099,-25.654001,0.0,bottom
C5,70.49,-66.890001,0.0,bottom
C6,89.59,-66.890001,0.0,bottom
C7,89.59,-83.290001,0.0,bottom
C8,33.19,-85.090001,90.0,bottom
C9,52.29,-85.090001,90.0,bottom
D1,51.435,-50.00625,180.0,bottom
D10,75.565,-67.627501,0.0,bottom
D11,102.39375,-67.818001,270.0,bottom
D12,94.615,-67.627501,0.0,bottom
D13,102.39375,-97.63125,270.0,bottom
D14,94.615,-84.074001,0.0,bottom
D15,45.24375,-86.868001,270.0,bottom
D16,37.465,-86.677501,0.0,bottom
D17,64.29375,-86.868001,270.0,bottom
D18,56.515,-86.677501,0.0,bottom
D19,83.34375,-86.868001,270.0,bottom
D2,52.387,-36.1775,0.0,bottom
D20,75.565,-86.677501,0.0,bottom
D21,64.29375,-105.918001,270.0,bottom
D22,56.515,-105.727501,0.0,bottom
D23,83.34375,-107.15625,270.0,bottom
D24,75.565,-105.727501,0.0,bottom
D25,64.29375,-124.968001,270.0,bottom
D26,56.515,-124.777501,0.0,bottom
D27,45.24375,-105.918001,270.0,bottom
D28,37.465,-105.727501,0.0,bottom
D29,83.34375,-124.968001,270.0,bottom
D3,85.8775,-49.92,0.0,bottom
D30,75.565,-124.777501,0.0,bottom
D31,102.39375,-135.73125,270.0,bottom
D32,94.615,-122.220001,0.0,bottom
D33,45.24375,-124.968001,270.0,bottom
D34,37.465,-124.777501,0.0,bottom
D35,51.7525,-143.827501,270.0,bottom
D36,30.165,-143.080001,90.0,bottom
D37,83.34375,-145.25625,270.0,bottom
D38,75.565,-143.827501,0.0,bottom
D39,94.615,-96.220001,0.0,bottom
D4,80.9625,-36.1775,0.0,bottom
D40,46.975,-143.820001,0.0,bottom
D41,94.615,-134.310001,0.0,bottom
D5,45.24375,-67.818001,270.0,bottom
D6,37.465,-67.627501,0.0,bottom
D7,64.29375,-67.818001,270.0,bottom
D8,56.515,-67.627501,0.0,bottom
D9,83.34375,-67.818001,270.0,bottom
F1,34.163,-29.210001,0.0,bottom
J5,35.71875,-20.35,180.0,bottom
R1,72.771,-40.386001,270.0,bottom
R2,71.1835,-40.386001,270.0,bottom
R4,82.423,-56.896001,180.0,bottom
R5,59.563,-51.054001,180.0,bottom
R6,37.465,-25.908001,270.0,bottom
R7,34.417,-25.908001,270.0,bottom
SW1,28.51,-152.550001,270.0,bottom
SW10,57.15,-95.25,180.0,bottom
SW11,76.2,-95.25,180.0,bottom
SW12,57.15,-114.3,180.0,bottom
SW13,76.2,-114.3,180.0,bottom
SW14,57.15,-133.35,180.0,bottom
SW15,38.1,-114.3,180.0,bottom
SW16,76.2,-133.35,180.0,bottom
SW17,95.25,-142.875001,0.0,bottom
SW18,38.1,-133.35,180.0,bottom
SW19,47.625,-152.4,180.0,bottom
SW2,49.887,-45.79,180.0,bottom
SW20,76.2,-152.4,180.0,bottom
SW3,78.462,-45.79,180.0,bottom
SW4,38.1,-76.2,180.0,bottom
SW5,57.15,-76.2,180.0,bottom
SW6,76.2,-76.2,180.0,bottom
SW7,95.25,-76.2,180.0,bottom
SW8,95.25,-104.775001,0.0,bottom
SW9,38.1,-95.25,180.0,bottom
U1,44.60875,-53.340001,90.0,bottom
U2,76.073,-53.340001,0.0,bottom
U3,65.367,-50.838001,90.0,bottom
U4,42.799,-28.448001,270.0,bottom
U5,43.307,-20.066001,0.0,bottom
Y1,56.261,-52.070001,90.0,bottom
