Designator,Mid X,Mid Y,Rotation,Layer
C1,67.8,-132.4,0.0,top
C2,94.6,-132.3,0.0,top
D10,206.125,-127.65,0.0,top
D11,258.5125,-46.6875,0.0,top
D12,215.65,-108.6,0.0,top
D13,196.6,-108.6,0.0,top
D14,195.2625,-152.4,0.0,top
D15,296.6125,-46.6875,0.0,top
D16,220.4125,-70.5,0.0,top
D17,163.2625,-70.5,0.0,top
D18,229.9375,-89.55,0.0,top
D19,172.7875,-89.55,0.0,top
D2,334.6,-45.8,0.0,top
D20,234.7,-108.6,0.0,top
D21,177.55,-108.6,0.0,top
D22,225.175,-127.65,0.0,top
D23,187.075,-127.65,0.0,top
D24,239.4625,-70.5,0.0,top
D25,144.2125,-70.5,0.0,top
D26,248.9875,-89.55,0.0,top
D27,153.7375,-89.55,0.0,top
D28,253.75,-108.6,0.0,top
D29,158.5,-108.6,0.0,top
D3,116.828125,-146.7,0.0,top
D30,244.225,-127.65,0.0,top
D31,168.025,-127.65,0.0,top
D32,85.0,-103.0,0.0,top
D33,258.5125,-70.5,0.0,top
D34,125.1625,-70.5,0.0,top
D35,268.0375,-89.55,0.0,top
D36,134.6875,-89.55,0.0,top
D37,272.8,-108.6,0.0,top
D38,139.45,-108.6,0.0,top
D39,263.275,-127.65,0.0,top
D4,316.70625,-133.35,0.0,top
D40,148.975,-127.65,0.0,top
D41,277.5625,-70.5,0.0,top
D42,106.1125,-70.5,0.0,top
D43,287.0875,-89.55,0.0,top
D44,115.6375,-89.55,0.0,top
D45,291.85,-108.6,0.0,top
D46,120.4,-108.6,0.0,top
D47,282.325,-127.65,0.0,top
D48,129.925,-127.65,0.0,top
D49,296.6125,-70.5,0.0,top
D5,201.3625,-70.5,0.0,top
D50,87.0625,-70.5,0.0,top
D51,306.1375,-89.55,0.0,top
D52,96.5875,-89.55,0.0,top
D53,310.9,-108.6,0.0,top
D54,101.35,-108.6,0.0,top
D55,315.6625,-46.6875,0.0,top
D56,110.875,-127.65,0.0,top
D57,325.1875,-70.5,0.0,top
D58,68.0125,-70.5,0.0,top
D59,319.234375,-94.3125,0.0,top
D6,182.3125,-70.5,0.0,top
D60,72.775,-89.55,0.0,top
D61,239.4625,-46.6875,0.0,top
D62,332.33125,-108.6,0.0,top
D63,277.5625,-46.6875,0.0,top
D7,210.8875,-89.55,0.0,top
D8,191.8375,-89.55,0.0,top
D9,220.4125,-46.6875,0.0,top
R1,161.925,-23.078125,0.0,top
R10,209.55,-72.628125,0.0,top
R11,190.5,-72.628125,0.0,top
R12,219.075,-23.078125,0.0,top
R13,204.7875,-110.728125,0.0,top
R14,257.175,-23.078125,0.0,top
R15,200.025,-23.078125,0.0,top
R16,214.3125,-91.678125,0.0,top
R17,195.2625,-91.678125,0.0,top
R18,195.2625,-129.778125,0.0,top
R19,295.275,-23.078125,0.0,top
R2,267.890625,-129.778125,0.0,top
R20,61.9125,-23.078125,0.0,top
R21,219.075,-53.578125,0.0,top
R22,161.925,-53.578125,0.0,top
R23,228.6,-72.628125,0.0,top
R24,171.45,-72.628125,0.0,top
R25,233.3625,-91.678125,0.0,top
R26,176.2125,-91.678125,0.0,top
R27,223.8375,-110.728125,0.0,top
R28,185.7375,-110.728125,0.0,top
R29,238.125,-53.578125,0.0,top
R3,333.375,-23.078125,0.0,top
R30,142.875,-53.578125,0.0,top
R31,247.65,-72.628125,0.0,top
R32,152.4,-72.628125,0.0,top
R33,252.4125,-91.678125,0.0,top
R34,157.1625,-91.678125,0.0,top
R35,242.8875,-110.728125,0.0,top
R36,166.6875,-110.728125,0.0,top
R37,73.81875,-91.678125,0.0,top
R38,257.175,-53.578125,0.0,top
R39,123.825,-53.578125,0.0,top
R4,122.634375,-129.778125,0.0,top
R40,266.7,-72.628125,0.0,top
R41,133.35,-72.628125,0.0,top
R42,271.4625,-91.678125,0.0,top
R43,138.1125,-91.678125,0.0,top
R44,261.9375,-110.728125,0.0,top
R45,147.6375,-110.728125,0.0,top
R46,276.225,-53.578125,0.0,top
R47,104.775,-53.578125,0.0,top
R48,285.75,-72.628125,0.0,top
R49,114.3,-72.628125,0.0,top
R5,95.0,-115.0,0.0,top
R50,290.5125,-91.678125,0.0,top
R51,119.0625,-91.678125,0.0,top
R52,280.9875,-110.728125,0.0,top
R53,128.5875,-110.728125,0.0,top
R54,295.275,-53.578125,0.0,top
R55,85.725,-53.578125,0.0,top
R56,302.41875,-72.628125,0.0,top
R57,95.25,-72.628125,0.0,top
R58,309.5625,-91.678125,0.0,top
R59,100.0125,-91.678125,0.0,top
R6,316.70625,-110.728125,0.0,top
R60,314.325,-23.078125,0.0,top
R61,109.5375,-110.728125,0.0,top
R62,323.85,-53.578125,0.0,top
R63,65.484375,-53.578125,0.0,top
R64,325.5,-51.3,180.0,top
R65,70.246875,-72.628125,0.0,top
R66,238.125,-23.078125,0.0,top
R67,317.56,-97.25,90.0,top
R68,276.225,-23.078125,0.0,top
R69,99.2,-132.1,0.0,top
R7,180.975,-23.078125,0.0,top
R70,72.8,-132.3,0.0,top
R8,200.025,-53.578125,0.0,top
R9,180.975,-53.578125,0.0,top
RV1,60.64,-155.48,-90.0,top
SW0,254.79375,-57.15,180.0,top
SW1,83.34375,-57.15,180.0,top
SW2,102.39375,-57.15,180.0,top
SW3,121.44375,-57.15,180.0,top
SW4,140.49375,-57.15,180.0,top
SW5,159.54375,-57.15,180.0,top
SW6,178.59375,-57.15,180.0,top
SW7,197.64375,-57.15,180.0,top
SW8,216.69375,-57.15,180.0,top
SW9,235.74375,-57.15,180.0,top
SWA1,97.63125,-95.25,180.0,top
SWB1,183.35625,-114.3,180.0,top
SWBrk1,330.99375,-26.65,180.0,top
SWC1,145.25625,-114.3,180.0,top
SWComma1,240.50625,-114.3,180.0,top
SWCps1,317.5325,-100.33,-90.0,top
SWCtl1,120.253125,-133.35,180.0,top
SWCtl2,265.509375,-133.35,180.0,top
SWCtlCaps1,70.246875,-95.25,180.0,top
SWD1,135.73125,-95.25,180.0,top
SWDash1,283.36875,-76.2,180.0,top
SWDel2,321.46875,-57.15,180.0,top
SWE1,130.96875,-76.2,180.0,top
SWEqual1,302.41875,-76.2,180.0,top
SWEsc1,63.103125,-57.15,180.0,top
SWF1,154.78125,-95.25,180.0,top
SWFn1,216.69375,-26.65,180.0,top
SWFn2,235.74375,-26.65,180.0,top
SWFn3,254.79375,-26.65,180.0,top
SWFn4,273.84375,-26.65,180.0,top
SWG1,173.83125,-95.25,180.0,top
SWGT1,292.89375,-57.15,180.0,top
SWH1,192.88125,-95.25,180.0,top
SWHlp1,292.89375,-26.65,180.0,top
SWI1,226.21875,-76.2,180.0,top
SWInv1,311.94375,-26.65,180.0,top
SWJ1,211.93125,-95.25,180.0,top
SWK1,230.98125,-95.25,180.0,top
SWL1,250.03125,-95.25,180.0,top
SWLT1,273.84375,-57.15,180.0,top
SWLeftSft1,75.009375,-114.3,180.0,top
SWM1,221.45625,-114.3,180.0,top
SWN1,202.40625,-114.3,180.0,top
SWO1,245.26875,-76.2,180.0,top
SWOption1,197.64375,-26.65,180.0,top
SWP1,264.31875,-76.2,180.0,top
SWPeriod1,259.55625,-114.3,180.0,top
SWPlus1,288.13125,-95.25,180.0,top
SWQ1,92.86875,-76.2,180.0,top
SWR1,150.01875,-76.2,180.0,top
SWReset1,59.53125,-26.65,180.0,top
SWRet2,321.46875,-73.2,180.0,top
SWRightSft1,314.325,-114.3,180.0,top
SWS1,116.68125,-95.25,180.0,top
SWSelect1,178.59375,-26.65,180.0,top
SWSemi1,269.08125,-95.25,180.0,top
SWSlash1,278.60625,-114.3,180.0,top
SWSpc1,192.88125,-133.35,180.0,top
SWStar1,307.18125,-95.25,180.0,top
SWStart1,159.54375,-26.65,180.0,top
SWT1,169.06875,-76.2,180.0,top
SWTab1,67.865625,-76.2,180.0,top
SWU1,207.16875,-76.2,180.0,top
SWV1,164.30625,-114.3,180.0,top
SWW1,111.91875,-76.2,180.0,top
SWX1,126.20625,-114.3,180.0,top
SWY1,188.11875,-76.2,180.0,top
SWZ1,107.15625,-114.3,180.0,top
U1,71.4375,-138.47,-45.0,top
U2,98.07675,-138.49,-45.0,top
