Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF,C14663
J2,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R7, R8, R9",0603,68,R, C22775
"R69, R70",0603,2,4k7,C23162
RV1,Potentiometer_Bourns_TC33X_Vertical,1,R_Potentiometer,C720647
SW0,MX-1-00U-LED,1,0,C193191
SW1,MX-1-00U-LED,1,1,C193191
SW2,MX-1-00U-LED,1,2,C193191
SW3,MX-1-00U-LED,1,3,C193191
SW4,MX-1-00U-LED,1,4,C193191
SW5,MX-1-00U-LED,1,5,C193191
SW6,MX-1-00U-LED,1,6,C193191
SW7,MX-1-00U-LED,1,7,C193191
SW8,MX-1-00U-LED,1,8,C193191
SW9,MX-1-00U-LED,1,9,C193191
SWA1,MX-1-00U-LED,1,A,C193191
SWB1,MX-1-00U-LED,1,B,C193191
SWBrk1,MX-1-00_1-25U-LED-Console,1,Break,C193191
SWC1,MX-1-00U-LED,1,C,C193191
SWComma1,MX-1-00U-LED,1,Comma,C193191
SWCps1,MX-1-25U-CAPS-LED,1,Caps,C193191
"SWCtl1, SWCtl2",MX-1-25U-LED,2,Control,C193191
SWCtlCaps1,MX-1-75_2-00U-LED,1,ControlCaps,C193191
SWD1,MX-1-00U-LED,1,D,C193191
SWDash1,MX-1-00U-LED,1,Dash,C193191
SWDel2,MX-2-00U-LED,1,Delete,C193191
SWE1,MX-1-00U-LED,1,E,C193191
SWEqual1,MX-1-00U-LED,1,Equal,C193191
SWEsc1,MX-1-00_1-25U-LED,1,Esc,C193191
SWF1,MX-1-00U-LED,1,F,C193191
SWFn1,MX-1-00_1-25U-LED-Console,1,F1,C193191
SWFn2,MX-1-00_1-25U-LED-Console,1,F2,C193191
SWFn3,MX-1-00_1-25U-LED-Console,1,F3,C193191
SWFn4,MX-1-00_1-25U-LED-Console,1,F4,C193191
SWG1,MX-1-00U-LED,1,G,C193191
SWGT1,MX-1-00U-LED,1,>,C193191
SWH1,MX-1-00U-LED,1,H,C193191
SWHlp1,MX-1-00_1-25U-LED-Console,1,Help,C193191
SWI1,MX-1-00U-LED,1,I,C193191
SWInv1,MX-1-00_1-25U-LED-Console,1,Inverse,C193191
SWJ1,MX-1-00U-LED,1,J,C193191
SWK1,MX-1-00U-LED,1,K,C193191
SWL1,MX-1-00U-LED,1,L,C193191
SWLT1,MX-1-00U-LED,1,<,C193191
SWLeftSft1,MX-2-25_2-50U-LED,1,Shift,C193191
SWM1,MX-1-00U-LED,1,M,C193191
SWN1,MX-1-00U-LED,1,N,C193191
SWO1,MX-1-00U-LED,1,O,C193191
SWOption1,MX-1-00_1-25U-LED-Console,1,Option,C193191
SWP1,MX-1-00U-LED,1,P,C193191
SWPeriod1,MX-1-00U-LED,1,Period,C193191
SWPlus1,MX-1-00U-LED,1,Plus,C193191
SWQ1,MX-1-00U-LED,1,Q,C193191
SWR1,MX-1-00U-LED,1,R,C193191
SWReset1,MX-1-00_1-25U-LED-Console,1,Reset,C193191
SWRet2,MX-1-50U-RETURN-LED,1,Return,C193191
SWRightSft1,MX-2-75U-LED,1,Shift,C193191
SWS1,MX-1-00U-LED,1,S,C193191
SWSelect1,MX-1-00_1-25U-LED-Console,1,Select,C193191
SWSemi1,MX-1-00U-LED,1,Semicolon,C193191
SWSlash1,MX-1-00U-LED,1,Slash,C193191
SWSpc1,MX-6-25U-LED,1,Space,C193191
SWStar1,MX-1-00U-LED,1,Star,C193191
SWStart1,MX-1-00_1-25U-LED-Console,1,Start,C193191
SWT1,MX-1-00U-LED,1,T,C193191
SWTab1,MX-1-50_1-75U-LED,1,Tab,C193191
SWU1,MX-1-00U-LED,1,U,C193191
SWV1,MX-1-00U-LED,1,V,C193191
SWW1,MX-1-00U-LED,1,W,C193191
SWX1,MX-1-00U-LED,1,X,C193191
SWY1,MX-1-00U-LED,1,Y,C193191
SWZ1,MX-1-00U-LED,1,Z,C193191
"U1, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,4051,C21379
"U3, U4",DIP-16_W7.62mm,2,4051,C21379
