Designator,Mid X,Mid Y,Rotation,Layer
C1,54.971925,-131.505,270.0,top
C2,103.0419,-132.38,0.0,top
R1,161.925025,-23.078125,0.0,top
R10,209.550025,-72.628125,0.0,top
R11,190.500025,-72.628125,0.0,top
R12,219.075025,-23.078125,0.0,top
R13,204.787525,-110.728125,0.0,top
R14,257.175025,-23.078125,0.0,top
R15,200.025025,-23.078125,0.0,top
R16,214.312525,-91.678125,0.0,top
R17,195.262525,-91.678125,0.0,top
R18,195.262525,-129.778125,0.0,top
R19,295.275025,-23.078125,0.0,top
R2,269.4719,-129.778125,0.0,top
R20,61.912525,-23.078125,0.0,top
R21,219.075025,-53.578125,0.0,top
R22,161.925025,-53.578125,0.0,top
R23,228.600025,-72.628125,0.0,top
R24,171.450025,-72.628125,0.0,top
R25,233.362525,-91.678125,0.0,top
R26,176.212525,-91.678125,0.0,top
R27,223.837525,-110.728125,0.0,top
R28,185.737525,-110.728125,0.0,top
R29,238.125025,-53.578125,0.0,top
R3,333.375025,-23.078125,0.0,top
R30,142.875025,-53.578125,0.0,top
R31,247.650025,-72.628125,0.0,top
R32,152.400025,-72.628125,0.0,top
R33,252.412525,-91.678125,0.0,top
R34,157.162525,-91.678125,0.0,top
R35,242.887525,-110.728125,0.0,top
R36,166.687525,-110.728125,0.0,top
R37,71.8219,-91.678125,0.0,top
R38,257.175025,-53.578125,0.0,top
R39,123.825025,-53.578125,0.0,top
R4,138.0919,-132.71,0.0,top
R40,266.700025,-72.628125,0.0,top
R41,133.350025,-72.628125,0.0,top
R42,271.462525,-91.678125,0.0,top
R43,138.112525,-91.678125,0.0,top
R44,261.937525,-110.728125,0.0,top
R45,147.637525,-110.728125,0.0,top
R46,276.225025,-53.578125,0.0,top
R47,104.775025,-53.578125,0.0,top
R48,285.750025,-72.628125,0.0,top
R49,114.300025,-72.628125,0.0,top
R5,76.9419,-110.66,0.0,top
R50,290.512525,-91.678125,0.0,top
R51,119.062525,-91.678125,0.0,top
R52,280.987525,-110.728125,0.0,top
R53,128.587525,-110.728125,0.0,top
R54,295.275025,-53.578125,0.0,top
R55,85.725025,-53.578125,0.0,top
R56,304.1419,-72.62,0.0,top
R57,95.250025,-72.628125,0.0,top
R58,309.562525,-91.678125,0.0,top
R59,100.012525,-91.678125,0.0,top
R6,316.706275,-110.728125,0.0,top
R60,314.325025,-23.078125,0.0,top
R61,109.537525,-110.728125,0.0,top
R62,323.850025,-53.578125,0.0,top
R63,65.4844,-53.578125,0.0,top
