Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF,C14663
J2,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R7, R8, R9",0603,67,R, C22775
"R69, R70",0603,2,4k7,C23162
RV1,Potentiometer_Bourns_TC33X_Vertical,1,R_Potentiometer,C719174
"SW0, SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SWA1, SWB1, SWC1, SWComma1, SWD1, SWDash1, SWE1, SWEqual1, SWEsc1, SWF1, SWG1, SWGT1, SWH1, SWI1, SWJ1, SWK1, SWL1, SWLT1, SWM1, SWN1, SWO1, SWP1, SWPeriod1, SWPlus1, SWQ1, SWS1, SWSemi1, SWSlash1, SWStar1, SWT1, SWU1, SWV1, SWW1, SWX1, SWY1, SWZ1",MX-1-00U-LED,46,LED,C193191
"SWBrk1, SWFn1, SWFn2, SWFn3, SWFn4, SWHlp1, SWInv1, SWOption1, SWReset1, SWSelect1, SWStart1",Choc-1-00U-LED,11,LED,C193191
SWCps1,MX-1-75U-LED,1,LED,C193191
"SWCtl1, SWCtl2",MX-1-25U-LED,2,LED,C193191
SWDel2,MX-2-00U-LED,1,LED,C193191
SWLeftSft1,MX-2-25U-LED,1,LED,C193191
SWR1,MX-1-00U-LED,1,LED,C193191
SWRet2,MX-ISO-RETURN,1,LED,C193191
SWRightSft1,MX-2-75U-LED,1,LED,C193191
SWSpc1,MX-6-25-U-LED,1,LED,C193191
SWTab1,MX-1-50U-LED,1,LED,C193191
"U1, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,4051,C21379
