Designator,Mid X,Mid Y,Rotation,Layer
C1,64.771275,-133.16,270.0,top
C2,78.831275,-138.16,90.0,top
R1,161.111275,-23.05,0.0,top
R10,206.56589,-72.61,0.0,top
R11,187.149544,-72.61,0.0,top
R12,218.261275,-23.05,0.0,top
R13,201.824448,-110.72,0.0,top
R14,256.361275,-23.05,0.0,top
R15,199.211275,-23.05,0.0,top
R16,211.309352,-91.67,0.0,top
R17,191.893006,-91.67,0.0,top
R18,194.391275,-129.76,0.0,top
R19,294.461275,-23.05,0.0,top
R2,267.081275,-129.76,0.0,top
R20,61.091275,-23.05,0.0,top
R21,216.429352,-53.56,0.0,top
R22,158.180314,-53.56,0.0,top
R23,225.982236,-72.61,0.0,top
R24,167.733198,-72.61,0.0,top
R25,230.725698,-91.67,0.0,top
R26,172.47666,-91.67,0.0,top
R27,221.314063,-110.72,0.0,top
R28,182.334833,-110.72,0.0,top
R29,235.845698,-53.56,0.0,top
R3,332.561275,-23.05,0.0,top
R30,138.763968,-53.56,0.0,top
R31,245.398582,-72.61,0.0,top
R32,148.316852,-72.61,0.0,top
R33,250.142044,-91.67,0.0,top
R34,153.060314,-91.67,0.0,top
R35,240.803679,-110.72,0.0,top
R36,162.845218,-110.72,0.0,top
R38,255.262045,-53.56,0.0,top
R39,119.347621,-53.56,0.0,top
R4,121.821275,-129.76,0.0,top
R40,264.814929,-72.61,0.0,top
R41,128.900505,-72.61,0.0,top
R42,269.558391,-91.67,0.0,top
R43,133.643967,-91.67,0.0,top
R44,260.293294,-110.72,0.0,top
R45,143.355601,-110.72,0.0,top
R46,274.678391,-53.56,0.0,top
R47,99.931275,-53.56,0.0,top
R48,284.231275,-72.61,0.0,top
R49,109.484159,-72.61,0.0,top
R5,73.011275,-110.63,0.0,top
R50,288.974737,-91.67,0.0,top
R51,114.227621,-91.67,0.0,top
R52,279.78291,-110.72,0.0,top
R53,123.865986,-110.72,0.0,top
R54,294.094737,-53.56,0.0,top
R55,80.511275,-53.56,0.0,top
R56,303.621275,-72.61,0.0,top
R57,90.067813,-72.61,0.0,top
R58,308.391083,-91.67,0.0,top
R59,94.811275,-91.67,0.0,top
R6,315.941275,-110.72,0.0,top
R60,313.511275,-23.05,0.0,top
R61,104.376371,-110.72,0.0,top
R62,323.036083,-53.56,0.0,top
R63,61.091275,-53.56,0.0,top
R64,319.351275,-89.23,90.0,top
R65,65.851275,-72.61,0.0,top
R66,237.311275,-23.05,0.0,top
R67,68.231275,-91.67,0.0,top
R68,275.411275,-23.05,0.0,top
R69,82.111275,-144.26,0.0,top
R7,180.161275,-23.05,0.0,top
R70,68.196925,-132.93,0.0,top
R8,197.013006,-53.56,0.0,top
R9,177.59666,-53.56,0.0,top
RV1,69.746925,-140.73,180.0,top
SW0,253.694737,-57.155,180.0,top
SW1,78.947621,-57.155,180.0,top
SW2,98.363967,-57.155,180.0,top
SW3,117.780313,-57.155,180.0,top
SW4,137.19666,-57.155,180.0,top
SW5,156.613006,-57.155,180.0,top
SW6,176.029352,-57.155,180.0,top
SW7,195.445698,-57.155,180.0,top
SW8,214.862044,-57.155,180.0,top
SW9,234.27839,-57.155,180.0,top
SWA1,93.235121,-95.255,180.0,top
SWB1,180.755218,-114.305,180.0,top
SWBrk1,330.993775,-26.665,180.0,top
SWC1,141.775986,-114.305,180.0,top
SWComma1,239.224064,-114.305,180.0,top
SWCps1,66.675025,-95.255,180.0,top
SWCtl1,120.25315,-133.355,180.0,top
SWCtl2,265.5094,-133.355,180.0,top
SWD1,132.067813,-95.255,180.0,top
SWDash1,282.636083,-76.205,180.0,top
SWDel2,321.468775,-57.19995,180.0,top
SWE1,127.305313,-76.205,180.0,top
SWEqual1,302.052429,-76.205,180.0,top
SWEsc1,59.531275,-57.155,180.0,top
SWF1,151.48416,-95.255,180.0,top
SWFn1,216.693775,-26.665,180.0,top
SWFn2,235.743775,-26.665,180.0,top
SWFn3,254.793775,-26.665,180.0,top
SWFn4,273.843775,-26.665,180.0,top
SWG1,170.900506,-95.255,180.0,top
SWGT1,292.527429,-57.155,180.0,top
SWH1,190.316852,-95.255,180.0,top
SWHlp1,292.893775,-26.665,180.0,top
SWI1,224.387044,-76.205,180.0,top
SWInv1,311.943775,-26.665,180.0,top
SWJ1,209.733198,-95.255,180.0,top
SWK1,229.149544,-95.255,180.0,top
SWL1,248.56589,-95.255,180.0,top
SWLT1,273.111083,-57.155,180.0,top
SWLeftSft1,71.437525,-114.34994999999999,180.0,top
SWM1,219.734448,-114.305,180.0,top
SWN1,200.244833,-114.305,180.0,top
SWO1,243.80339,-76.205,180.0,top
SWOption1,197.643775,-26.665,180.0,top
SWP1,263.219737,-76.205,180.0,top
SWPeriod1,258.713679,-114.305,180.0,top
SWPlus1,287.398583,-95.255,180.0,top
SWQ1,88.472621,-76.205,180.0,top
SWR1,146.72166,-81.705,180.0,top
SWReset1,59.531275,-26.665,180.0,top
SWRet2,323.480775,-90.8055,270.0,top
SWRightSft1,314.325025,-114.34994999999999,180.0,top
SWS1,112.651467,-95.255,180.0,top
SWSelect1,178.593775,-26.665,180.0,top
SWSemi1,267.982237,-95.255,180.0,top
SWSlash1,278.203295,-114.305,180.0,top
SWSpc1,192.881275,-133.39995,180.0,top
SWStar1,306.814929,-95.255,180.0,top
SWStart1,159.543775,-26.665,180.0,top
SWT1,166.138006,-76.205,180.0,top
SWTab1,64.293775,-76.205,180.0,top
SWU1,204.970698,-76.205,180.0,top
SWV1,161.265603,-114.305,180.0,top
SWW1,107.888967,-76.205,180.0,top
SWX1,122.286371,-114.305,180.0,top
SWY1,185.554352,-76.205,180.0,top
SWZ1,102.796756,-114.305,180.0,top
U1,59.841275,-138.39,270.0,top
U2,84.831275,-139.71,0.0,top
