Designator,Mid X,Mid Y,Rotation,Layer
D1,88.106324,-132.159486,180.0,top
D10,164.306388,-94.059454,180.0,top
D11,157.162632,-132.159486,180.0,top
D12,188.118908,-55.959422,180.0,top
D13,130.96886,-55.959422,180.0,top
D14,197.643916,-75.009438,180.0,top
D15,140.493868,-75.009438,180.0,top
D16,202.40642,-94.059454,180.0,top
D17,145.256372,-94.059454,180.0,top
D18,192.881412,-113.10947,180.0,top
D19,154.78138,-113.10947,180.0,top
D2,40.481284,-132.159486,180.0,top
D20,207.168924,-55.959422,180.0,top
D21,111.918844,-55.959422,180.0,top
D22,216.693932,-75.009438,180.0,top
D23,121.443852,-75.009438,180.0,top
D24,221.456436,-94.059454,180.0,top
D25,126.206356,-94.059454,180.0,top
D26,211.931428,-113.10947,180.0,top
D27,135.731364,-113.10947,180.0,top
D28,226.21894,-55.959422,180.0,top
D29,92.868828,-55.959422,180.0,top
D3,59.5313,-113.10947,180.0,top
D30,235.743948,-75.009438,180.0,top
D31,102.393836,-75.009438,180.0,top
D32,240.506452,-94.059454,180.0,top
D33,107.15634,-94.059454,180.0,top
D34,230.386131,-113.10947,180.0,top
D35,116.681348,-113.10947,180.0,top
D36,245.268956,-55.959422,180.0,top
D37,73.818812,-55.959422,180.0,top
D38,254.793964,-75.009438,180.0,top
D39,83.34382,-75.009438,180.0,top
D4,169.068892,-55.959422,180.0,top
D40,259.556468,-94.059454,180.0,top
D41,88.106324,-94.059454,180.0,top
D42,250.03146,-113.10947,180.0,top
D43,97.631332,-113.10947,180.0,top
D44,264.318972,-55.959422,180.0,top
D45,54.768796,-55.959422,180.0,top
D46,273.84398,-75.009438,180.0,top
D47,64.293804,-75.009438,180.0,top
D48,276.820545,-94.059454,180.0,top
D49,69.056308,-94.059454,180.0,top
D5,150.018876,-55.959422,180.0,top
D50,301.823691,-113.10947,180.0,top
D51,78.581316,-113.10947,180.0,top
D52,301.823691,-55.959422,180.0,top
D53,35.71878,-55.959422,180.0,top
D54,301.823691,-58.340674,180.0,top
D55,45.243788,-75.009438,180.0,top
D56,50.006292,-94.059454,180.0,top
D6,178.5939,-75.009438,180.0,top
D7,159.543884,-75.009438,180.0,top
D8,173.831396,-113.10947,180.0,top
D9,183.356404,-94.059454,180.0,top
R1,80.367255,-116.681348,0.0,top
R10,168.473579,-97.631332,0.0,top
R11,177.998587,-78.581316,0.0,top
R12,158.948571,-78.581316,0.0,top
R13,151.804815,-116.681348,0.0,top
R14,182.761091,-40.481284,0.0,top
R15,125.611043,-40.481284,0.0,top
R16,192.286099,-59.5313,0.0,top
R17,135.136051,-59.5313,0.0,top
