Designator,Mid X,Mid Y,Rotation,Layer
D1,218.866568,-114.23,180.0,top
D10,133.776568,-76.13,180.0,top
D11,151.048568,-114.23,180.0,top
D12,156.382568,-38.03,180.0,top
D13,101.010568,-38.03,180.0,top
D14,165.780568,-57.08,180.0,top
D15,110.662568,-57.08,180.0,top
D16,170.606568,-76.13,180.0,top
D17,115.234568,-76.13,180.0,top
D18,161.208568,-95.18,180.0,top
D19,124.124568,-95.18,180.0,top
D2,30.906568,-114.23,180.0,top
D20,174.670568,-38.03,180.0,top
D21,82.468568,-38.03,180.0,top
D22,184.322568,-57.08,180.0,top
D23,92.120568,-57.08,180.0,top
D24,189.148568,-76.13,180.0,top
D25,96.692568,-76.13,180.0,top
D26,179.496568,-95.18,180.0,top
D27,105.836568,-95.18,180.0,top
D28,193.212568,-38.03,180.0,top
D29,63.926568,-38.03,180.0,top
D3,29.636568,-95.18,180.0,top
D30,202.864568,-57.08,180.0,top
D31,73.578568,-57.08,180.0,top
D32,207.436568,-76.13,180.0,top
D33,78.404568,-76.13,180.0,top
D34,198.038568,-95.18,180.0,top
D35,87.294568,-95.18,180.0,top
D36,213.786568,-38.03,180.0,top
D37,45.638568,-38.03,180.0,top
D38,221.152568,-57.08,180.0,top
D39,55.290568,-57.08,180.0,top
D4,137.840568,-38.03,180.0,top
D40,225.978568,-76.13,180.0,top
D41,59.862568,-76.13,180.0,top
D42,216.580568,-95.18,180.0,top
D43,68.752568,-95.18,180.0,top
D44,232.582568,-38.03,180.0,top
D45,27.350568,-38.03,180.0,top
D46,239.694568,-57.08,180.0,top
D47,37.002568,-57.08,180.0,top
D48,244.520568,-76.13,180.0,top
D49,41.320568,-76.13,180.0,top
D5,119.298568,-38.03,180.0,top
D50,242.234568,-114.23,180.0,top
D51,50.464568,-95.18,180.0,top
D52,255.696568,-38.03,180.0,top
D53,75.864568,-114.23,180.0,top
D54,261.538568,-57.08,180.0,top
D55,52.750568,-114.23,180.0,top
D56,264.586568,-75.876,180.0,top
D6,147.492568,-57.08,180.0,top
D7,128.950568,-57.08,180.0,top
D8,142.666568,-95.18,180.0,top
D9,152.064568,-76.13,180.0,top
R1,222.676568,-128.962,0.0,top
R10,146.476568,-109.912,0.0,top
R11,155.874568,-90.862,0.0,top
R12,137.332568,-90.862,0.0,top
R13,151.048568,-128.962,0.0,top
R14,159.938568,-52.762,0.0,top
R15,104.566568,-52.762,0.0,top
R16,169.590568,-71.812,0.0,top
R17,114.218568,-71.812,0.0,top
R18,174.162568,-90.862,0.0,top
R19,118.790568,-90.862,0.0,top
R2,33.446568,-128.962,0.0,top
R20,164.764568,-109.912,0.0,top
R21,127.934568,-109.912,0.0,top
R22,178.480568,-52.762,0.0,top
R23,86.278568,-52.762,0.0,top
R24,188.132568,-71.812,0.0,top
R25,95.676568,-71.812,0.0,top
R26,192.704568,-90.862,0.0,top
R27,100.502568,-90.862,0.0,top
R28,183.306568,-109.912,0.0,top
R29,109.392568,-109.912,0.0,top
R3,264.332568,-128.962,0.0,top
R30,197.022568,-52.762,0.0,top
R31,67.736568,-52.762,0.0,top
R32,206.674568,-71.812,0.0,top
R33,77.388568,-71.812,0.0,top
R34,211.246568,-90.862,0.0,top
R35,81.960568,-90.862,0.0,top
R36,201.848568,-109.912,0.0,top
R37,91.104568,-109.912,0.0,top
R38,215.310568,-52.762,0.0,top
R39,49.448568,-52.762,0.0,top
R4,33.446568,-109.912,0.0,top
R40,224.962568,-71.812,0.0,top
R41,58.846568,-71.812,0.0,top
R42,229.788568,-90.862,0.0,top
