Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D6, D7, D8, D9",D_SOD-123,56,1N4148W,C81598
D57,0603,1,LED,
J1,PinHeader_1x22_P2.54mm_Vertical,1,Conn_01x22,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R6, R61, R62, R63, R64, R7, R8, R9",0603,61,100,C22775
RV1,Potentiometer_Bourns_TC33X_Vertical,1,R_Potentiometer,C720647
SW0,MX-1-00U-LED,1,0,C193191
SW1,MX-1-00U-LED,1,1,C193191
SW2,MX-1-00U-LED,1,2,C193191
SW3,MX-1-00U-LED,1,3,C193191
SW4,MX-1-00U-LED,1,4,C193191
SW5,MX-1-00U-LED,1,5,C193191
SW6,MX-1-00U-LED,1,6,C193191
SW7,MX-1-00U-LED,1,7,C193191
SW8,MX-1-00U-LED,1,8,C193191
SW9,MX-1-00U-LED,1,9,C193191
SWA1,MX-1-00U-LED,1,A,C193191
SWB1,MX-1-00U-LED,1,B,C193191
SWBrk1,MX-1-25U-LED,1,Break,C193191
SWC1,MX-1-00U-LED,1,C,C193191
SWComma1,MX-1-00U-LED,1,Comma,C193191
SWCps1,MX-1-75U-LED,1,Caps,C193191
SWCtl1,MX-1-25U-LED,1,Control,C193191
SWD1,MX-1-00U-LED,1,D,C193191
SWDash1,MX-1-00U-LED,1,Dash,C193191
SWDel1,MX-2-00U-LED,1,Del,C193191
SWE1,MX-1-00U-LED,1,E,C193191
SWEqual1,MX-1-00U-LED,1,Equal,C193191
SWEsc1,MX-1-00U-LED,1,Esc,C193191
SWF1,MX-1-00U-LED,1,F,C193191
SWG1,MX-1-00U-LED,1,G,C193191
SWGT1,MX-1-00U-LED,1,GreaterThan,C193191
SWH1,MX-1-00U-LED,1,H,C193191
SWI1,MX-1-00U-LED,1,I,C193191
SWInv1,MX-1-00U-LED,1,Atari,C193191
SWJ1,MX-1-00U-LED,1,J,C193191
SWK1,MX-1-00U-LED,1,K,C193191
SWL1,MX-1-00U-LED,1,L,C193191
SWLT1,MX-1-00U-LED,1,LessThan,C193191
SWLeftSft1,MX-2-25U-LED,1,Shift,C193191
SWM1,MX-1-00U-LED,1,M,C193191
SWN1,MX-1-00U-LED,1,N,C193191
SWO1,MX-1-00U-LED,1,O,C193191
SWOption1,MX-1-25U-LED,1,Option,C193191
SWP1,MX-1-00U-LED,1,P,C193191
SWPeriod1,MX-1-00U-LED,1,Period,C193191
SWPlus1,MX-1-00U-LED,1,Plus,C193191
SWQ1,MX-1-00U-LED,1,Q,C193191
SWR1,MX-1-00U-LED,1,R,C193191
SWReset1,MX-1-25U-LED,1,Reset,C193191
SWRet1,MX-ISO-RETURN,1,Return,C193191
SWRightSft1,MX-1-75U-LED,1,Shift,C193191
SWS1,MX-1-00U-LED,1,S,C193191
SWSelect1,MX-1-25U-LED,1,Select,C193191
SWSemi1,MX-1-00U-LED,1,Semicolon,C193191
SWSlash1,MX-1-00U-LED,1,Slash,C193191
SWSpc1,MX-6-25U-LED,1,Space,C193191
SWStar1,MX-1-00U-LED,1,Star,C193191
SWStart1,MX-1-25U-LED,1,Start,C193191
SWT1,MX-1-00U-LED,1,T,C193191
SWTab1,MX-1-50U-LED,1,Tab,C193191
SWU1,MX-1-00U-LED,1,U,C193191
SWV1,MX-1-00U-LED,1,V,C193191
SWW1,MX-1-00U-LED,1,W,C193191
SWX1,MX-1-00U-LED,1,X,C193191
SWY1,MX-1-00U-LED,1,Y,C193191
SWZ1,MX-1-00U-LED,1,Z,C193191
