Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D6, D7, D8, D9",D_SOD-323,56,1N4148W,C2128
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R7, R8, R9",0402,63,100,C25076
RV1,Potentiometer_Bourns_TC33X_Vertical,1,R_Potentiometer,C720647
SW0,Choc-1-00U-LED,1,0,C2290
SW1,Choc-1-00U-LED,1,1,C2290
SW2,Choc-1-00U-LED,1,2,C2290
SW3,Choc-1-00U-LED,1,3,C2290
SW4,Choc-1-00U-LED,1,4,C2290
SW5,Choc-1-00U-LED,1,5,C2290
SW6,Choc-1-00U-LED,1,6,C2290
SW7,Choc-1-00U-LED,1,7,C2290
SW8,Choc-1-00U-LED,1,8,C2290
SW9,Choc-1-00U-LED,1,9,C2290
SWA1,Choc-1-00U-LED,1,A,C2290
SWB1,Choc-1-00U-LED,1,B,C2290
SWBRK1,Choc-1-00U-LED,1,Break,C2290
SWC1,Choc-1-00U-LED,1,C,C2290
SWCOMMA1,Choc-1-00U-LED,1,Comma,C2290
SWCPS1,Choc-1-00U-LED,1,Caps,C2290
SWCTL1,Choc-1-50U-LED,1,Control,C2290
SWD1,Choc-1-00U-LED,1,D,C2290
SWDASH1,Choc-1-00U-LED,1,Dash,C2290
SWDEL1,Choc-1-00U-LED,1,Del,C2290
SWE1,Choc-1-00U-LED,1,E,C2290
SWEQUAL1,Choc-1-00U-LED,1,Equal,C2290
SWESC1,Choc-1-00U-LED,1,Esc,C2290
SWF1,Choc-1-00U-LED,1,F,C2290
SWG1,Choc-1-00U-LED,1,G,C2290
SWGT1,Choc-1-00U-LED,1,GreaterThan,C2290
SWH1,Choc-1-00U-LED,1,H,C2290
SWI1,Choc-1-00U-LED,1,I,C2290
SWINV1,Choc-1-00U-LED,1,Atari,C2290
SWJ1,Choc-1-00U-LED,1,J,C2290
SWK1,Choc-1-00U-LED,1,K,C2290
SWL1,Choc-1-00U-LED,1,L,C2290
SWLEFTSFT1,Choc-2-00U-LED,1,Shift,C2290
SWLT1,Choc-1-00U-LED,1,LessThan,C2290
SWM1,Choc-1-00U-LED,1,M,C2290
SWN1,Choc-1-00U-LED,1,N,C2290
SWO1,Choc-1-00U-LED,1,O,C2290
SWOPTION1,Choc-1-00U-LED,1,Option,C2290
SWP1,Choc-1-00U-LED,1,P,C2290
SWPERIOD1,Choc-1-00U-LED,1,Period,C2290
SWPLUS1,Choc-1-00U-LED,1,Plus,C2290
SWQ1,Choc-1-00U-LED,1,Q,C2290
SWR1,Choc-1-00U-LED,1,R,C2290
SWRESET1,Choc-1-00U-LED,1,Reset,C2290
SWRET1,Choc-1-25U-LED,1,Return,C2290
SWRIGHTSFT1,Choc-1-25U-LED,1,Shift,C2290
SWS1,Choc-1-00U-LED,1,S,C2290
SWSELECT1,Choc-1-00U-LED,1,Select,C2290
SWSEMI1,Choc-1-00U-LED,1,Semicolon,C2290
SWSLASH1,Choc-1-00U-LED,1,Slash,C2290
"SWSPC1, SWSPC2, SWSPC3",Choc-2-25U-LED,3,Space,C2290
SWSTAR1,Choc-1-00U-LED,1,Star,C2290
SWSTART1,Choc-1-00U-LED,1,Start,C2290
SWT1,Choc-1-00U-LED,1,T,C2290
SWTAB1,Choc-1-50U-LED,1,Tab,C2290
SWU1,Choc-1-00U-LED,1,U,C2290
SWV1,Choc-1-00U-LED,1,V,C2290
SWW1,Choc-1-00U-LED,1,W,C2290
SWX1,Choc-1-00U-LED,1,X,C2290
SWY1,Choc-1-00U-LED,1,Y,C2290
SWZ1,Choc-1-00U-LED,1,Z,C2290
