Designator,Mid X,Mid Y,Rotation,Layer
D1,216.072568,-129.724,180.0,top
D10,130.728568,-91.624,180.0,top
D11,104.058568,-129.724,180.0,top
D12,153.588568,-53.524,180.0,top
D13,98.216568,-53.524,180.0,top
D14,162.986568,-72.574,180.0,top
D15,107.868568,-72.574,180.0,top
D16,167.812568,-91.624,180.0,top
D17,112.440568,-91.624,180.0,top
D18,158.414568,-110.674,180.0,top
D19,121.584568,-110.674,180.0,top
D2,27.096568,-129.724,180.0,top
D20,171.876568,-53.524,180.0,top
D21,79.674568,-53.524,180.0,top
D22,181.528568,-72.574,180.0,top
D23,89.326568,-72.574,180.0,top
D24,186.354568,-91.624,180.0,top
D25,93.898568,-91.624,180.0,top
D26,176.702568,-110.674,180.0,top
D27,103.042568,-110.674,180.0,top
D28,190.418568,-53.524,180.0,top
D29,61.386568,-53.524,180.0,top
D3,26.588568,-110.674,180.0,top
D30,199.816568,-72.574,180.0,top
D31,70.784568,-72.574,180.0,top
D32,204.642568,-91.624,180.0,top
D33,75.610568,-91.624,180.0,top
D34,195.244568,-110.674,180.0,top
D35,84.500568,-110.674,180.0,top
D36,208.706568,-53.524,180.0,top
D37,43.098568,-53.524,180.0,top
D38,218.358568,-72.574,180.0,top
D39,52.496568,-72.574,180.0,top
D4,135.046568,-53.524,180.0,top
D40,223.184568,-91.624,180.0,top
D41,57.322568,-91.624,180.0,top
D42,213.786568,-110.674,180.0,top
D43,66.212568,-110.674,180.0,top
D44,227.248568,-53.524,180.0,top
D45,24.810568,-53.524,180.0,top
D46,236.900568,-72.574,180.0,top
D47,34.208568,-72.574,180.0,top
D48,241.726568,-91.624,180.0,top
D49,38.780568,-91.624,180.0,top
D5,116.504568,-53.524,180.0,top
D50,236.900568,-129.724,180.0,top
D51,47.670568,-110.674,180.0,top
D52,252.902568,-53.524,180.0,top
D53,73.070568,-129.724,180.0,top
D54,257.728568,-72.574,180.0,top
D55,49.956568,-129.724,180.0,top
D56,260.014568,-91.624,180.0,top
D57,144.698568,-129.724,180.0,top
D58,185.084568,-129.724,180.0,top
D6,144.698568,-72.574,180.0,top
D7,126.156568,-72.574,180.0,top
D8,139.872568,-110.674,180.0,top
D9,149.270568,-91.624,180.0,top
R1,222.422568,-114.23,0.0,top
R10,146.222568,-95.18,0.0,top
R11,155.620568,-76.13,0.0,top
R12,137.332568,-76.13,0.0,top
R13,110.916568,-110.674,0.0,top
R14,159.938568,-38.03,0.0,top
R15,104.566568,-38.03,0.0,top
R16,169.336568,-57.08,0.0,top
R17,113.964568,-57.08,0.0,top
R18,174.162568,-76.13,0.0,top
R19,118.790568,-76.13,0.0,top
R2,33.192568,-114.23,0.0,top
R20,164.764568,-95.18,0.0,top
R21,127.680568,-95.18,0.0,top
R22,178.226568,-38.03,0.0,top
R23,86.024568,-38.03,0.0,top
R24,187.878568,-57.08,0.0,top
R25,95.676568,-57.08,0.0,top
R26,192.704568,-76.13,0.0,top
R27,100.248568,-76.13,0.0,top
R28,183.052568,-95.18,0.0,top
R29,109.392568,-95.18,0.0,top
R3,264.078568,-114.23,0.0,top
R30,196.768568,-38.03,0.0,top
R31,67.736568,-38.03,0.0,top
R32,206.420568,-57.08,0.0,top
R33,77.134568,-57.08,0.0,top
R34,210.992568,-76.13,0.0,top
R35,81.960568,-76.13,0.0,top
R36,201.594568,-95.18,0.0,top
R37,90.850568,-95.18,0.0,top
R38,215.310568,-38.03,0.0,top
R39,49.194568,-38.03,0.0,top
R4,33.192568,-95.18,0.0,top
R40,224.708568,-57.08,0.0,top
R41,58.592568,-57.08,0.0,top
R42,229.534568,-76.13,0.0,top
R43,63.418568,-76.13,0.0,top
R44,220.136568,-95.18,0.0,top
R45,72.308568,-95.18,0.0,top
R46,233.598568,-38.03,0.0,top
R47,30.906568,-38.03,0.0,top
R48,243.250568,-57.08,0.0,top
R49,40.558568,-57.08,0.0,top
R5,250.362568,-92.132,0.0,top
R50,247.822568,-76.13,0.0,top
R51,44.876568,-76.13,0.0,top
R52,243.250568,-114.23,0.0,top
R53,54.020568,-95.18,0.0,top
R54,259.252568,-38.03,0.0,top
R55,79.420568,-114.23,0.0,top
R56,264.078568,-57.08,0.0,top
R57,56.306568,-114.23,0.0,top
R58,266.364568,-76.13,0.0,top
R59,151.048568,-110.928,180.0,top
R6,141.396568,-38.03,0.0,top
