Designator,Mid X,Mid Y,Rotation,Layer
D1,306.7685,-37.2745,180.0,top
D10,178.2445,-94.1705,180.0,top
D12,187.6425,-75.1205,180.0,top
D13,168.5925,-75.1205,180.0,top
D14,172.9105,-107.6325,180.0,top
D15,192.4685,-37.0205,180.0,top
D16,135.3185,-37.0205,180.0,top
D17,202.1205,-56.0705,180.0,top
D18,144.9705,-56.0705,180.0,top
D19,206.6925,-75.1205,180.0,top
D2,102.71,-113.3925,180.0,top
D20,149.5425,-75.1205,180.0,top
D21,197.2945,-94.1705,180.0,top
D22,159.1945,-94.1705,180.0,top
D24,211.5185,-37.0205,180.0,top
D25,116.2685,-37.0205,180.0,top
D26,221.1705,-56.0705,180.0,top
D27,125.9205,-56.0705,180.0,top
D28,225.7425,-75.1205,180.0,top
D29,130.4925,-75.1205,180.0,top
D3,262.72,-100.3025,180.0,top
D30,216.3445,-94.1705,180.0,top
D31,140.1445,-94.1705,180.0,top
D32,230.5685,-37.0205,180.0,top
D33,97.2185,-37.0205,180.0,top
D34,240.2205,-56.0705,180.0,top
D35,106.8705,-56.0705,180.0,top
D36,244.7925,-75.1205,180.0,top
D37,111.4425,-75.1205,180.0,top
D38,235.3945,-94.1705,180.0,top
D39,121.0945,-94.1705,180.0,top
D41,249.6185,-37.0205,180.0,top
D42,78.1685,-37.0205,180.0,top
D43,259.2705,-56.0705,180.0,top
D44,87.8205,-56.0705,180.0,top
D45,263.8425,-75.1205,180.0,top
D46,92.3925,-75.1205,180.0,top
D47,254.4445,-94.1705,180.0,top
D48,102.0445,-94.1705,180.0,top
D49,268.6685,-37.0205,180.0,top
D5,173.4185,-37.0205,180.0,top
D50,59.1185,-37.0205,180.0,top
D51,278.3205,-56.0705,180.0,top
D52,68.7705,-56.0705,180.0,top
D53,282.8925,-75.1205,180.0,top
D54,73.3425,-75.1205,180.0,top
D55,254.49,-98.1825,180.0,top
D56,82.9945,-94.1705,180.0,top
D57,287.7185,-37.0205,180.0,top
D58,40.0685,-37.0205,180.0,top
D59,306.7685,-56.0705,180.0,top
D6,154.3685,-37.0205,180.0,top
D60,49.7205,-56.0705,180.0,top
D62,302.1965,-75.1205,180.0,top
D7,183.0705,-56.0705,180.0,top
D8,164.0205,-56.0705,180.0,top
R10,157.1625,-40.7035,180.0,top
R11,234.552948,-97.035876,180.0,top
R12,171.6405,-78.6765,180.0,top
R14,181.0385,-59.6265,180.0,top
R15,161.9885,-59.6265,180.0,top
R16,161.9885,-97.7265,180.0,top
R17,185.7375,-21.5265,180.0,top
R18,128.4605,-21.5265,180.0,top
R19,195.2625,-40.5765,180.0,top
R2,89.29682,-97.631188,180.0,top
R20,138.1125,-40.7035,180.0,top
R21,200.0885,-59.6265,180.0,top
R22,142.9385,-59.7535,180.0,top
R23,190.4365,-78.6765,180.0,top
R24,152.3365,-78.6765,180.0,top
R25,204.9145,-21.5265,180.0,top
R26,109.4105,-21.5265,180.0,top
R27,214.3125,-40.5765,180.0,top
R28,118.9355,-40.5765,180.0,top
R29,219.1385,-59.6265,180.0,top
R3,46.6725,-58.8645,0.0,top
R30,123.8885,-59.7535,180.0,top
R31,209.6135,-78.8035,180.0,top
R32,133.2865,-78.6765,180.0,top
R33,223.7105,-21.5265,180.0,top
R34,90.6145,-21.5265,180.0,top
R35,233.3625,-40.5765,180.0,top
R36,100.0125,-40.5765,180.0,top
R37,238.1885,-59.6265,180.0,top
R38,104.8385,-59.7535,180.0,top
R39,228.5365,-78.6765,180.0,top
R4,47.6885,-78.6765,180.0,top
R40,114.2365,-78.6765,180.0,top
R42,242.8875,-21.5265,180.0,top
R43,71.4375,-21.5265,180.0,top
R44,252.4125,-40.5765,180.0,top
R45,80.9625,-40.5765,180.0,top
R46,257.2385,-59.8805,180.0,top
R47,85.6615,-59.6265,180.0,top
R48,248.840436,-78.6765,180.0,top
R49,95.3135,-78.6765,180.0,top
R5,275.3825,-76.9725,180.0,top
R50,261.9375,-21.5265,180.0,top
R51,52.3875,-21.5265,180.0,top
R52,271.4625,-40.5765,180.0,top
R53,61.9125,-40.7035,180.0,top
R54,276.2885,-59.6265,180.0,top
R55,66.7385,-59.6265,180.0,top
R56,300.2425,-79.5125,180.0,top
R57,76.2635,-78.6765,180.0,top
R6,290.512276,-21.2725,180.0,top
R60,33.2105,-21.5265,180.0,top
R61,304.502108,-39.8145,0.0,top
R62,42.1005,-39.8145,0.0,top
R64,295.2115,-59.6265,180.0,top
R7,166.8145,-21.5265,180.0,top
R8,147.6375,-21.5265,180.0,top
R9,176.2125,-40.5765,180.0,top
RV1,249.8725,-112.7125,180.0,top
SW0,223.8375,-23.8125,180.0,top
SW1,52.3875,-23.8125,180.0,top
SW2,71.4375,-23.8125,180.0,top
SW3,90.4875,-23.8125,180.0,top
SW4,109.5375,-23.8125,180.0,top
SW5,128.5875,-23.8125,180.0,top
SW6,147.6375,-23.8125,180.0,top
SW7,166.6875,-23.8125,180.0,top
SW8,185.7375,-23.8125,180.0,top
SW9,204.7875,-23.8125,180.0,top
SWA1,66.675,-61.9125,180.0,top
SWAtari1,300.275,-77.9625,180.0,top
