Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C15, C16, C17, C18, C2, C20, C29, C30, C32, C38, C39, C4, C42, C6, C7, C8, C9",0402,22,100nF,C1525
"C14, C19, C21, C3, C31, C40, C5",0402,7,1uF,C52923
"C23, C26, C27, C28",0402,4,10uF,C15525
"C24, C25",0402,2,15pF,C1548
D1,0805,1,LED_G,C2297
D2,0603,1,LED_R,C2286
D3,Nexperia_CFP3_SOD-123W,1,MBR120VLSFT1G,C223608
J1,Micro SD,1,Micro_SD_Card,C20613191
"J3, J9",JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,2,SM03B-SRSS-TB,C160389
J4,PinHeader_2x04_P1.27mm_Vertical,1,Conn_01x08_Pin,
J8,USB_Micro-B,1,USB_B_Micro,C2765187
Q2,SOT-23,1,DMG2305UX,C150470
"R1, R30, R31, R32",0402,4,1k,C11702
"R10, R4, R5, R6, R7, R8, R9",0402,7,47k,C25792
"R11, R2, R3, R33",0402,4,10k,C25744
"R26, R28",0805,2,27,C17561
"SW2, SW3",Tactile_Switch_Basic_XKB_TS-1187A,2,SW_TACTILE,C318884
"U1, U2, U5",TSSOP-24_4.4x7.8mm_P0.65mm,3,SN74LVC8T245,C27643
U3,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,C507118
U4,SOT-223-3_TabPin2,1,NCP1117-3.3,C6186
"U6, U8",VSSOP-8_2.3x2mm_P0.5mm,2,SN74LVC2T45DCUR,C15741
U7,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U9,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,12MHz,C9002
