Designator,Mid X,Mid Y,Rotation,Layer
C1,88.574,-72.413,315.0,top
C10,66.825,-63.202,225.0,top
C11,73.641132,-63.128497,315.0,top
C12,64.75,-55.8,135.0,top
C13,70.75,-52.65,45.0,top
C14,74.191,-54.566,45.0,top
C16,88.542,-47.327,90.0,top
C17,44.529411,-77.199411,315.0,top
C18,51.966,-72.921,225.0,top
C19,51.204,-72.159,225.0,top
C2,94.1046,-79.9314,45.0,top
C23,89.558,-47.327,90.0,top
C24,74.403132,-66.557497,135.0,top
C25,77.832132,-61.858497,225.0,top
C26,79.66,-68.57,180.0,top
C27,80.05,-64.7,90.0,top
C28,90.45,-72.15,0.0,top
C29,73.683,-75.334,270.0,top
C3,95.4508,-78.5852,225.0,top
C30,73.937,-85.113,90.0,top
C31,72.921,-85.113,90.0,top
C32,82.7,-57.106,45.0,top
C38,65.047,-69.238,0.0,top
C39,74.826,-69.746,180.0,top
C4,75.165132,-61.604497,315.0,top
C40,74.826,-68.73,180.0,top
C42,63.4,-55.1,225.0,top
C5,68.638,-52.662,135.0,top
C6,74.403132,-62.366497,315.0,top
C7,74.953,-55.328,45.0,top
C8,64.26,-59.96,135.0,top
C9,72.159,-52.661,45.0,top
D1,67.0,-30.2,270.0,top
D2,68.9,-30.0,270.0,top
D3,82.85,-70.86,180.0,top
J1,87.72,-33.992,180.0,top
J3,92.190556,-61.31457,90.0,top
J7,61.25,-40.44,0.0,bottom
J8,52.9,-31.0625,180.0,top
J9,78.706,-56.457,90.0,top
Q2,82.55,-74.19,90.0,top
R1,72.667,-75.334,270.0,top
R10,67.0,-36.1,90.0,top
R11,87.018,-56.471,315.0,top
R2,65.047,-70.508,0.0,top
R26,65.65,-54.55,315.0,top
R28,67.05,-53.15,315.0,top
R3,63.015,-69.873,0.0,top
R30,64.6,-36.1,90.0,top
R31,77.070132,-61.096497,45.0,top
R32,72.9,-36.1,90.0,top
R33,74.699,-77.366,270.0,top
R4,85.494,-47.327,90.0,top
R5,86.51,-47.327,90.0,top
R6,87.526,-47.327,90.0,top
R7,90.574,-47.327,90.0,top
R8,92.098,-47.327,90.0,top
R9,93.114,-47.327,90.0,top
SW2,61.6,-30.9,0.0,top
SW3,74.5,-30.9,0.0,top
U1,50.578732,-78.433146,315.0,top
U2,89.421268,-78.433146,225.0,top
U3,84.478,-54.439,315.0,top
U4,84.986,-66.063,180.0,top
U5,70.0,-80.24,180.0,top
U6,70.0,-71.524,270.0,top
U7,69.686,-58.884,45.0,top
U9,59.7,-51.4,225.0,top
X1,76.181132,-64.652497,45.0,top
