Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C2, C29, C30, C32, C33, C38, C39, C4, C42, C6, C7, C8, C9",0402,23,100nF,C1525
"C19, C3, C31, C34, C40",0402,5,1uF,C52923
"C20, C21, C22, C5",0402,4,4.7uF,C23733
"C23, C26, C27, C28",0402,4,10uF,C15525
"C24, C25",0402,2,15pF,C1548
D1,Nexperia_CFP3_SOD-123W,1,MBR120VLSFT1G,C8598
D2,0805,1,LED,C2297
J1,Micro SD,1,Micro_SD_Card,C20613191
J2,Atari Cartridge Edge Connector,1,Conn_02x15_Row_Letter_First,
J3,PinSocket_2x07_P2.54mm_Vertical,1,Conn_02x07_Row_Letter_First,
J8,USB_Micro-B,1,USB_B_Micro,C2765187
J9,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160389
L16,0806,1,3.3uH,C42411119
Q1,SOT-23,1,PNP,C8542
Q2,SOT-23,1,DMG2305UX,C150470
"R1, R10, R2, R3, R30, R31, R32, R35",0402,8,1k,C11702
"R24, R33",0402,2,10k,C25744
R25,0402,1,33,C25105
"R26, R28",0805,2,27,C17561
R34,0402,1,220,C25091
R37,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,0,
"R4, R5, R6, R7, R8, R9",0402,6,47k,C25792
"SW2, SW3",Tactile_Switch_Basic_XKB_TS-1187A,2,SW_TACTILE,C318884
"U1, U2, U5, U6, U8",TSSOP-24_4.4x7.8mm_P0.65mm,5,SN74LVC8T245,C27643
U3,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,C42415655
U4,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C6186
U9,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,12MHz,C20625731
