Designator,Mid X,Mid Y,Rotation,Layer
BT1,164.081333,-93.597,0.0,top
C1,145.871333,-72.697,45.0,top
C10,142.893533,-85.7348,45.0,top
C11,145.461333,-88.067,45.0,top
C12,140.988533,-96.7838,315.0,top
C13,134.486133,-96.0472,225.0,top
C14,141.521333,-95.377,225.0,top
C15,131.641333,-93.177,225.0,top
C16,169.142653,-68.362457,90.0,top
C20,137.731333,-80.947,315.0,top
C21,135.701333,-82.637,45.0,top
C22,134.631333,-81.597,45.0,top
C23,168.188653,-68.362257,90.0,top
C24,142.258533,-99.3238,135.0,top
C25,142.309333,-96.1234,45.0,top
C26,158.541333,-65.727,270.0,top
C27,148.011333,-74.657,270.0,top
C28,146.131333,-89.457,0.0,top
C4,142.233133,-85.0744,45.0,top
C5,143.751333,-94.087,315.0,top
C6,133.038333,-94.5994,225.0,top
C7,133.411333,-85.987,225.0,top
C8,131.768333,-86.9794,135.0,top
C9,139.870933,-82.7884,45.0,top
D1,157.30684,-61.927723,90.0,top
D2,177.411333,-52.347,0.0,top
J1,167.453925,-61.086253,180.0,top
J3,166.981333,-75.757,180.0,top
J4,124.924594,-83.419357,270.0,top
J5,153.512568,-56.194779,180.0,top
J9,124.869881,-74.965791,270.0,top
L16,133.311333,-80.507,225.0,top
Q1,162.751333,-68.237,0.0,top
Q2,156.351333,-66.197,90.0,top
R1,124.951333,-69.467,90.0,top
R2,146.511333,-75.387,45.0,top
R25,136.401333,-79.627,315.0,top
R26,129.964933,-84.3232,315.0,top
R28,131.311133,-82.977,315.0,top
R3,129.131333,-69.527,270.0,top
R30,147.461333,-68.717,90.0,top
R31,143.081333,-94.737,135.0,top
R32,148.771333,-61.317,90.0,top
R34,175.961333,-53.877,0.0,top
R4,165.205653,-68.387857,90.0,top
R41,154.761333,-60.667,90.0,top
R42,151.761333,-60.707,90.0,top
R5,166.221653,-68.387857,90.0,top
R6,167.237653,-68.387857,90.0,top
R7,170.082453,-68.387857,90.0,top
R8,171.860453,-68.387857,90.0,top
R9,172.927253,-68.387857,90.0,top
SW2,144.423938,-65.265321,0.0,top
SW3,144.423938,-58.93897,180.0,top
U1,130.596517,-59.621913,0.0,top
U2,142.151333,-75.547,135.0,top
U3,137.915133,-90.002,135.0,top
U4,152.931333,-72.507,0.0,top
X1,144.061933,-97.4696,45.0,top
