"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C2,C3","0.1uF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"J1","USB_A_Stacked"," ~","Connector_USB:USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked","1",""
"J2","Conn_01x28_Pin","~","Connector_PinHeader_2.54mm:PinHeader_2x14_P2.54mm_Vertical","1",""
"J3","Conn_02x07_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","1",""
"Q1,Q2","2N7000","https://www.vishay.com/docs/70226/70226.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"Q3","TP0610L","http://www.vishay.com/docs/70209/70209.pdf","Package_TO_SOT_THT:TO-92L_Inline","1",""
"R1,R2,R3,R4","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"SW1","SW_Option","~","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS","1",""
"U1","Pico","","Library:RPi_Pico_SMD_TH","1",""
"U2","74LS245","http://www.ti.com/lit/gpn/sn74LS245","Package_DIP:DIP-20_W7.62mm_Socket","1",""
"U5","MCP23017_SP","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","Package_DIP:DIP-28_W7.62mm","1",""
