Designator,Mid X,Mid Y,Rotation,Layer
C1,138.43,-115.443,180.0,top
C10,154.94,-104.394,315.0,top
C11,147.348172,-96.895713,135.0,top
C12,155.78542,-96.476421,45.0,top
C13,147.97679,-103.630905,225.0,top
C14,151.299484,-93.124006,135.0,top
C15,157.675466,-101.655249,315.0,top
C16,150.581064,-93.842426,135.0,top
C17,143.256,-99.568,0.0,top
C18,143.256,-104.902,0.0,top
C19,161.29,-103.251,0.0,top
C2,165.354,-120.015,0.0,top
C20,160.401,-76.835,90.0,top
C23,116.2812,-78.8416,180.0,top
C24,171.323,-110.871,180.0,top
C25,168.529,-111.252,270.0,top
C26,138.43,-116.459,180.0,top
C27,120.772,-101.01,180.0,top
C28,120.772,-100.056,180.0,top
C29,118.618,-90.241,180.0,top
C3,171.323,-111.887,180.0,top
C30,118.618,-91.257,180.0,top
C32,148.59,-115.443,180.0,top
C33,148.59,-116.459,180.0,top
C34,120.772,-94.722,180.0,top
C35,118.618,-85.034,180.0,top
C36,138.43,-110.236,180.0,top
C37,148.59,-110.233,180.0,top
C38,159.766,-78.232,0.0,top
C39,159.766,-79.248,0.0,top
C4,161.417,-120.015,180.0,top
C40,159.766,-80.264,0.0,top
C41,159.766,-81.28,0.0,top
C42,175.1076,-103.505,90.0,top
C5,162.052,-110.109,180.0,top
C6,148.69521,-104.349326,225.0,top
C7,155.067,-95.758,45.0,top
C8,157.226,-97.917,45.0,top
C9,157.94442,-98.635421,45.0,top
D1,175.531,-121.158,180.0,top
D2,173.4566,-99.06,90.0,top
F1,169.926,-109.22,180.0,top
J1,175.768,-125.006,0.0,top
J10,153.162,-108.458,225.0,top
J11,126.5428,-106.8932,0.0,top
J2,121.412,-81.138,180.0,top
J3,108.839,-72.263,90.0,top
J5,110.612,-104.8004,90.0,top
J6,185.7198,-118.8442,180.0,top
J7,135.382,-124.587,90.0,top
J8,179.6796,-99.06,270.0,top
J9,192.6336,-81.5748,0.0,top
L10,132.207,-119.38,270.0,top
L11,134.239,-119.38,270.0,top
L12,136.652,-119.38,270.0,top
L13,139.192,-119.38,270.0,top
L14,141.732,-119.38,270.0,top
L15,144.272,-119.38,270.0,top
L16,115.824,-77.16,0.0,top
L2,100.452,-98.151,270.0,top
L3,102.992,-98.151,270.0,top
L4,105.532,-98.151,270.0,top
L5,108.072,-98.151,270.0,top
L6,102.997,-77.47,90.0,top
L7,105.029,-77.47,90.0,top
L8,129.159,-119.38,270.0,top
L9,130.683,-119.38,270.0,top
Q1,114.8588,-81.3308,180.0,top
Q2,179.341,-117.602,270.0,top
R1,156.845,-110.236,270.0,top
R11,159.3088,-76.8096,270.0,top
R12,112.3696,-82.0928,270.0,top
R13,118.364,-82.494,270.0,top
R14,108.961,-100.691,270.0,top
R15,106.802,-100.691,270.0,top
R16,110.993,-100.691,270.0,top
R17,100.452,-100.691,90.0,top
R18,102.992,-100.691,90.0,top
R19,105.532,-100.691,90.0,top
R2,157.640459,-94.615,225.0,top
R20,107.945,-100.691,90.0,top
R21,109.977,-100.691,90.0,top
R22,102.489,-75.057,270.0,top
R23,105.006,-75.003,270.0,top
R24,112.649,-75.057,270.0,top
R25,115.189,-75.057,270.0,top
R26,117.729,-75.057,270.0,top
R27,129.159,-121.793,90.0,top
R28,130.683,-121.793,90.0,top
R29,132.207,-121.793,90.0,top
R3,148.336,-92.136177,315.0,top
R30,134.239,-121.793,90.0,top
R31,136.652,-121.793,90.0,top
R32,139.192,-121.793,90.0,top
R33,141.732,-121.793,90.0,top
R34,144.272,-121.793,90.0,top
R35,118.618,-77.16,180.0,top
R36,159.766,-89.535,180.0,top
R37,116.713,-83.566,180.0,top
R38,137.033,-108.712,180.0,top
R39,147.193,-108.712,180.0,top
R4,146.899159,-93.573018,315.0,top
R40,181.2544,-92.8116,270.0,top
R5,159.0773,-96.012,225.0,top
R6,118.4656,-78.8416,180.0,top
R7,162.433,-121.285,180.0,top
R8,145.542,-102.87,90.0,top
SW1,166.291,-124.841,180.0,top
SW2,151.559,-124.841,0.0,top
SW3,158.925,-124.841,180.0,top
SW4,185.4736,-78.7446,0.0,top
U1,170.688,-85.89,270.0,top
U10,143.51,-113.0905,180.0,top
U2,176.022,-110.109,90.0,top
U3,162.56,-115.062,270.0,top
U4,152.019,-99.949,315.0,top
U5,164.465,-99.822,90.0,top
U7,115.692,-97.643,180.0,top
U8,113.44795,-87.8945,180.0,top
U9,133.35,-113.0905,180.0,top
USB1-2,191.547999,-99.006,180.0,top
X1,143.2432,-102.278,270.0,top
