Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C19, C24, C27, C29, C32, C34, C35, C36, C37, C41, C42, C6, C8, C9",0402,21,100nF,C1525
"C16, C20, C25, C26, C28, C30, C33, C7",0402,8,1uF,C52923
"C17, C18",0402,2,15pF,C1548
"C2, C3, C38, C39, C4, C40, C5",0402,7,10uF,C15525
C23,0402,1,1nF,C1523
D1,Nexperia_CFP3_SOD-123W,1,MBR120VLSFT1G,C223608
D2,WS2812C,1,WS2812B,C4154872
F1,1206,1,100mA,C269108
J1,USB_Micro-B,1,USB_B_Micro,C2765187
J10,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,SM03B-SRSS-TB,C160389
J8,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,Conn_01x03,C160389
"L10, L11, L12, L13, L14, L15, L2, L3, L4, L5, L6, L7, L8, L9",0603,14,10uH,C1035
L16,0805,1,22uH,C105501
Q1,SOT-23,1,2N7000,C22446827
Q2,SOT-23,1,DMG2305UX,C150470
"R1, R37, R38, R39, R40, R7, R8",0402,7,1k,C11702
"R11, R12, R13, R36",0402,4,10k,C25744
"R14, R15, R16, R17, R18, R19, R20, R35, R6",0402,9,100,C25076
"R2, R3, R4, R5",0805,4,27,C17561
"R21, R24, R25, R26",0402,4,470,C25117
"R22, R23, R27, R28, R29, R30, R31, R32, R33, R34",0402,10,220,C25091
"SW1, SW2, SW3, SW4",Tactile_Switch_Basic_XKB_TS-1187A,4,SW_TACTILE,C318884
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,C701341
"U10, U7, U8, U9",TSSOP-24_4.4x7.8mm_P0.65mm,4,SN74LVC8T245,C27643
U2,QSOP-16_3.9x4.9mm_P0.635mm,1,CH334R,C4154405
U3,SOT-223-3_TabPin2,1,NCP1117-3.3,C6186
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,12MHz,C9002
