Designator,Mid X,Mid Y,Rotation,Layer
D1,185.8645,-47.73,180.0,top
D10,185.77475,-119.14,180.0,top
D12,204.9145,-47.73,180.0,top
D13,147.7645,-47.73,180.0,top
D14,214.3125,-66.78,180.0,top
D15,157.1625,-66.78,180.0,top
D16,219.1385,-86.084,180.0,top
D17,161.9885,-86.084,180.0,top
D18,209.7405,-105.134,180.0,top
D19,171.6405,-105.134,180.0,top
D2,166.8145,-47.73,180.0,top
D20,223.9645,-47.73,180.0,top
D21,128.7145,-47.73,180.0,top
D22,233.3625,-66.78,180.0,top
D23,138.1125,-66.78,180.0,top
D24,238.1885,-86.084,180.0,top
D25,142.9385,-86.084,180.0,top
D26,225.71075,-105.0236,180.0,top
D27,152.5905,-105.134,180.0,top
D28,243.0145,-47.73,180.0,top
D29,109.6645,-47.73,180.0,top
D3,195.2625,-66.78,180.0,top
D30,252.4125,-66.78,180.0,top
D31,119.0625,-66.78,180.0,top
D32,257.2385,-86.084,180.0,top
D33,123.8885,-86.084,180.0,top
D34,244.81155,-105.0236,180.0,top
D35,133.5405,-105.134,180.0,top
D36,262.0645,-47.73,180.0,top
D37,90.6145,-47.73,180.0,top
D38,271.4625,-66.78,180.0,top
D39,100.0125,-66.78,180.0,top
D4,176.2125,-66.78,180.0,top
D40,276.2885,-86.084,180.0,top
D41,104.8385,-86.084,180.0,top
D42,266.8905,-105.134,180.0,top
D43,114.4905,-105.134,180.0,top
D44,281.1145,-47.73,180.0,top
D45,71.5645,-47.73,180.0,top
D46,290.5125,-66.78,180.0,top
D47,80.9625,-66.78,180.0,top
D48,295.3385,-86.084,180.0,top
D49,85.7885,-86.084,180.0,top
D5,66.7385,-124.184,180.0,top
D50,319.2145,-105.134,180.0,top
D51,95.4405,-105.134,180.0,top
D52,302.7045,-47.73,180.0,top
D53,52.5145,-47.73,180.0,top
D54,306.5145,-86.084,180.0,top
D55,61.9125,-66.78,180.0,top
D56,85.7885,-124.184,180.0,top
D57,314.1345,-86.084,180.0,top
D58,295.3385,-124.184,180.0,top
D59,257.2385,-124.184,180.0,top
D6,190.6905,-105.134,180.0,top
D60,109.6645,-124.184,180.0,top
D61,61.6585,-105.134,180.0,top
D62,56.8325,-86.084,180.0,top
D7,276.2885,-124.184,180.0,top
D8,200.0885,-86.084,180.0,top
D9,181.0385,-86.084,180.0,top
J2,327.406,-89.154,90.0,top
J3,312.42,-26.924,270.0,bottom
J6,328.13875,-25.944154,270.0,top
RV1,329.17475,-109.04,270.0,top
R1,180.5305,-28.934,0.0,top
R10,175.7045,-107.42,0.0,top
R12,199.5805,-28.934,0.0,top
R13,142.4305,-28.934,0.0,top
R14,208.9785,-50.27,0.0,top
R15,151.8285,-50.27,0.0,top
R16,213.8045,-69.32,0.0,top
R17,156.6545,-69.32,0.0,top
R18,204.4065,-88.37,0.0,top
R19,166.3065,-88.37,0.0,top
R2,161.4805,-28.934,0.0,top
R20,218.59475,-28.93,0.0,top
R21,123.3805,-28.934,0.0,top
R22,228.0285,-50.27,0.0,top
R23,132.7785,-50.27,0.0,top
R24,232.8545,-69.32,0.0,top
R25,137.6045,-69.32,0.0,top
R26,223.4565,-88.37,0.0,top
R27,147.2565,-88.37,0.0,top
R28,222.23975,-28.93,0.0,top
R29,104.3305,-28.934,0.0,top
R3,189.9285,-50.27,0.0,top
R30,247.0785,-50.27,0.0,top
R31,113.7285,-50.27,0.0,top
R32,251.9045,-69.32,0.0,top
R33,118.5545,-69.32,0.0,top
R34,242.5065,-88.37,0.0,top
R35,128.2065,-88.37,0.0,top
R36,225.88475,-28.93,0.0,top
R37,85.2805,-28.934,0.0,top
R38,266.1285,-50.27,0.0,top
R39,94.6785,-50.27,0.0,top
R4,170.8785,-50.27,0.0,top
R40,270.9545,-69.32,0.0,top
R41,99.5045,-69.32,0.0,top
R42,261.5565,-88.37,0.0,top
R43,109.1565,-88.37,0.0,top
R44,279.11475,-29.0,0.0,top
R45,66.2305,-28.934,0.0,top
R46,285.1785,-50.27,0.0,top
R47,75.6285,-50.27,0.0,top
R48,290.0045,-69.32,0.0,top
R49,80.4545,-69.32,0.0,top
R5,61.4045,-107.42,0.0,top
R50,313.8805,-88.37,0.0,top
R51,90.1065,-88.37,0.0,top
R52,47.1805,-28.934,0.0,top
R53,287.02,-29.0,0.0,top
R54,298.6405,-50.27,0.0,top
R55,51.7525,-50.27,0.0,top
R56,80.4545,-107.42,0.0,top
R57,320.7385,-73.638,270.0,top
R58,290.0045,-107.42,0.0,top
R59,249.6185,-107.42,0.0,top
R6,185.1025,-88.37,0.0,top
R60,102.0445,-107.42,0.0,top
R61,287.7185,-88.37,0.0,top
R62,307.34,-28.934,0.0,top
R63,59.1185,-88.37,0.0,top
R66,54.2925,-69.32,0.0,top
R7,280.8605,-107.42,0.0,top
R8,194.7545,-69.32,0.0,top
R9,175.7045,-69.32,0.0,top
SW0,236.12475,-34.44,180.0,top
SW1,64.67475,-34.44,180.0,top
SW2,83.72475,-34.44,180.0,top
SW3,102.77475,-34.44,180.0,top
SW4,121.82475,-34.44,180.0,top
SW5,140.87475,-34.44,180.0,top
SW6,159.92475,-34.44,180.0,top
SW7,178.97475,-34.44,180.0,top
SW8,198.02475,-34.44,180.0,top
SW9,217.07475,-34.44,180.0,top
SWA1,78.96225,-72.6,180.0,top
SWB1,164.68725,-91.68,180.0,top
SWBrk1,249.221625,-110.76,180.0,top
SWBrk2,312.32475,-34.44,180.0,top
SWC1,126.58725,-91.68,180.0,top
SWComma1,221.83725,-91.68,180.0,top
SWCps1,309.9435,-72.6,180.0,top
SWCtl1,103.965375,-110.76,180.0,top
SWCtlCaps1,51.577875,-72.6,180.0,top
SWD1,117.06225,-72.6,180.0,top
SWDash1,264.69975,-53.52,180.0,top
SWDel2,293.27475,-34.44,180.0,top
SWE1,112.29975,-53.52,180.0,top
SWEqual1,283.74975,-53.52,180.0,top
SWEsc1,45.62475,-34.44,180.0,top
SWF1,136.11225,-72.6,180.0,top
SWFn1,63.484125,-110.76,180.0,top
SWFn2,82.534125,-110.76,180.0,top
SWFn3,270.652875,-110.76,180.0,top
SWFn4,289.702875,-110.76,180.0,top
SWG1,155.16225,-72.6,180.0,top
SWGT1,274.22475,-34.44,180.0,top
SWH1,174.21225,-72.6,180.0,top
SWI1,207.54975,-53.52,180.0,top
SWInv1,312.32475,-91.68,180.0,top
SWJ1,193.26225,-72.6,180.0,top
SWK1,212.31225,-72.6,180.0,top
SWL1,231.36225,-72.6,180.0,top
SWLT1,255.17475,-34.44,180.0,top
SWLeftSft1,56.340375,-91.68,180.0,top
SWM1,202.78725,-91.68,180.0,top
SWN1,183.73725,-91.68,180.0,top
SWO1,226.59975,-53.52,180.0,top
SWP1,245.64975,-53.52,180.0,top
SWPeriod1,240.88725,-91.68,180.0,top
SWPlus1,269.46225,-72.6,180.0,top
SWQ1,74.19975,-53.52,180.0,top
SWR1,131.34975,-53.52,180.0,top
SWRet2,307.56225,-53.49,180.0,top
SWRightSft1,286.131,-91.68,180.0,top
SWS1,98.01225,-72.6,180.0,top
SWSemi1,250.41225,-72.6,180.0,top
SWSlash1,259.93725,-91.68,180.0,top
SWSpc1,175.402875,-110.76,180.0,top
SWStar1,288.51225,-72.6,180.0,top
SWT1,150.39975,-53.52,180.0,top
SWTab1,50.38725,-53.49,180.0,top
SWU1,188.49975,-53.52,180.0,top
SWV1,145.63725,-91.68,180.0,top
SWW1,93.24975,-53.52,180.0,top
SWX1,107.53725,-91.68,180.0,top
SWY1,169.44975,-53.52,180.0,top
SWZ1,88.48725,-91.68,180.0,top
