Designator,Mid X,Mid Y,Rotation,Layer
D1,319.26475,-47.72,180.0,top
D10,190.6905,-105.134,180.0,top
D11,82.2025,-124.2206,180.0,top
D12,200.0885,-86.084,180.0,top
D13,181.0385,-86.084,180.0,top
D14,257.2385,-124.184,180.0,top
D15,204.9145,-47.73,180.0,top
D16,147.7645,-47.73,180.0,top
D17,214.3125,-66.78,180.0,top
D18,157.1625,-66.78,180.0,top
D19,219.1385,-86.084,180.0,top
D2,56.8325,-86.084,180.0,top
D20,161.9885,-86.084,180.0,top
D21,209.7405,-105.134,180.0,top
D22,171.6405,-105.134,180.0,top
D23,223.9645,-47.73,180.0,top
D24,128.7145,-47.73,180.0,top
D25,233.3625,-66.78,180.0,top
D26,138.1125,-66.78,180.0,top
D27,238.1885,-86.084,180.0,top
D28,142.9385,-86.084,180.0,top
D29,225.71075,-105.0236,180.0,top
D3,300.13225,-105.134,180.0,top
D30,152.5905,-105.134,180.0,top
D31,243.0145,-47.73,180.0,top
D32,109.6645,-47.73,180.0,top
D33,252.4125,-66.78,180.0,top
D34,119.0625,-66.78,180.0,top
D35,257.2385,-86.084,180.0,top
D36,123.8885,-86.084,180.0,top
D37,244.81155,-105.0236,180.0,top
D38,133.5405,-105.134,180.0,top
D39,262.0645,-47.73,180.0,top
D4,354.01175,-126.69,180.0,top
D40,90.6145,-47.73,180.0,top
D41,271.4625,-66.78,180.0,top
D42,100.0125,-66.78,180.0,top
D43,276.2885,-86.084,180.0,top
D44,104.8385,-86.084,180.0,top
D45,266.8905,-105.134,180.0,top
D46,114.4905,-105.134,180.0,top
D47,371.37475,-125.72,180.0,top
D48,281.1145,-47.73,180.0,top
D49,71.5645,-47.73,180.0,top
D5,185.8645,-47.73,180.0,top
D50,290.5125,-66.78,180.0,top
D51,81.05225,-66.78,180.0,top
D52,295.3385,-86.084,180.0,top
D53,85.7885,-86.084,180.0,top
D54,319.2145,-105.134,180.0,top
D55,95.4405,-105.134,180.0,top
D56,300.22475,-47.73,180.0,top
D57,52.5145,-47.73,180.0,top
D58,319.29225,-66.78,180.0,top
D59,61.9125,-66.78,180.0,top
D6,166.8145,-47.73,180.0,top
D60,275.097875,-124.184,180.0,top
D61,319.17225,-86.07,180.0,top
D62,294.147875,-124.184,180.0,top
D7,195.2625,-66.78,180.0,top
D8,176.2125,-66.78,180.0,top
D9,63.1525,-124.2206,180.0,top
J2,327.406,-89.154,90.0,top
J3,312.42,-26.924,180.0,bottom
R1,309.25475,-28.934,0.0,top
R10,61.4045,-107.42,0.0,top
R11,185.1025,-88.37,0.0,top
R12,80.4545,-107.42,0.0,top
R13,353.99675,-88.37,0.0,top
R14,194.7545,-69.32,0.0,top
R15,175.7045,-69.32,0.0,top
R16,175.7045,-107.42,0.0,top
R17,353.91475,-69.32,0.0,top
R18,199.58475,-28.92,0.0,top
R19,142.42475,-28.92,0.0,top
R2,52.00475,-69.31,0.0,top
R20,208.9785,-50.27,0.0,top
R21,151.8285,-50.27,0.0,top
R22,213.8045,-69.32,0.0,top
R23,156.6545,-69.32,0.0,top
R24,204.4065,-88.37,0.0,top
R25,166.3065,-88.37,0.0,top
R26,353.89475,-50.19,0.0,top
R27,218.58475,-28.92,0.0,top
R28,123.37475,-28.92,0.0,top
R29,228.0285,-50.27,0.0,top
R3,56.91475,-88.34,0.0,top
R30,132.7785,-50.27,0.0,top
R31,232.8545,-69.32,0.0,top
R32,137.6045,-69.32,0.0,top
R33,223.4565,-88.37,0.0,top
R34,147.2565,-88.37,0.0,top
R35,353.89475,-31.04,0.0,top
R36,237.71475,-28.89,0.0,top
R37,104.33475,-28.92,0.0,top
R38,247.0785,-50.27,0.0,top
R39,113.7285,-50.27,0.0,top
R4,287.7185,-88.37,0.0,top
R40,251.9045,-69.32,0.0,top
R41,118.5545,-69.32,0.0,top
R42,242.5065,-88.37,0.0,top
R43,128.2065,-88.37,0.0,top
R44,256.99475,-28.9,0.0,top
R45,85.32475,-28.92,0.0,top
R46,266.1285,-50.27,0.0,top
R47,94.6785,-50.27,0.0,top
R48,270.9545,-69.32,0.0,top
R49,99.5045,-69.32,0.0,top
R5,353.99675,-107.42,0.0,top
R50,261.5565,-88.37,0.0,top
R51,109.1565,-88.37,0.0,top
R52,275.85475,-29.0,0.0,top
R53,66.2305,-28.89,0.0,top
R54,285.1785,-50.27,0.0,top
R55,75.6285,-50.27,0.0,top
R56,290.0045,-69.32,0.0,top
R57,80.4545,-69.32,0.0,top
R58,313.8805,-88.37,0.0,top
R59,90.1065,-88.37,0.0,top
R6,180.51475,-28.89,0.0,top
R60,295.00475,-29.0,0.0,top
R61,44.69475,-28.934,0.0,top
R62,309.12475,-50.26,0.0,top
R63,49.64475,-50.25,0.0,top
R64,271.04475,-107.41,0.0,top
R65,311.85475,-69.32,0.0,top
R66,290.0045,-107.42,0.0,top
R7,161.4805,-28.92,0.0,top
R8,189.9285,-50.27,0.0,top
R9,170.8785,-50.27,0.0,top
RV1,329.15475,-108.64,180.0,top
SW0,236.12475,-34.44,180.0,top
SW1,64.67475,-34.44,180.0,top
SW2,83.72475,-34.44,180.0,top
SW3,102.77475,-34.44,180.0,top
SW4,121.82475,-34.44,180.0,top
SW5,140.87475,-34.44,180.0,top
SW6,159.92475,-34.44,180.0,top
SW7,178.97475,-34.44,180.0,top
SW8,198.02475,-34.44,180.0,top
SW9,217.07475,-34.44,180.0,top
SWA1,78.96225,-72.54,180.0,top
SWB1,164.68725,-91.59,180.0,top
SWBrk1,312.32475,-34.44,180.0,top
SWC1,126.58725,-91.59,180.0,top
SWComma1,221.83725,-91.59,180.0,top
SWCps1,309.9435,-72.54,180.0,top
SWCtl1,50.38725,-72.54,180.0,top
SWD1,117.06225,-72.54,180.0,top
SWDash1,264.69975,-53.49,180.0,top
SWDel1,293.27475,-34.44,180.0,top
SWE1,112.29975,-53.49,180.0,top
SWEqual1,283.74975,-53.49,180.0,top
SWEsc1,43.2435,-34.44,180.0,top
SWF1,136.11225,-72.54,180.0,top
SWFn1,59.91225,-110.64,180.0,top
SWFn2,78.96225,-110.64,180.0,top
SWFn3,269.46225,-110.64,180.0,top
SWFn4,288.51225,-110.64,180.0,top
SWG1,155.16225,-72.54,180.0,top
SWGT1,274.22475,-34.44,180.0,top
SWH1,174.21225,-72.54,180.0,top
SWHlp1,352.32475,-110.64,180.0,top
SWI1,207.54975,-53.49,180.0,top
SWInv1,312.32475,-91.59,180.0,top
SWJ1,193.26225,-72.54,180.0,top
SWK1,212.31225,-72.54,180.0,top
SWL1,231.36225,-72.54,180.0,top
SWLT1,255.17475,-34.44,180.0,top
SWLeftSft1,55.14975,-91.59,180.0,top
SWM1,202.78725,-91.59,180.0,top
SWN1,183.73725,-91.59,180.0,top
SWO1,226.59975,-53.49,180.0,top
SWOption1,352.32475,-53.49,180.0,top
SWP1,245.64975,-53.49,180.0,top
SWPeriod1,240.88725,-91.59,180.0,top
SWPlus1,269.46225,-72.54,180.0,top
SWQ1,74.19975,-53.49,180.0,top
SWR1,131.34975,-53.49,180.0,top
SWReset1,352.32475,-34.44,180.0,top
SWRet1,307.56225,-53.49,270.0,top
SWRightSft1,286.131,-91.59,180.0,top
SWS1,98.01225,-72.54,180.0,top
SWSelect1,352.32475,-72.54,180.0,top
SWSemi1,250.41225,-72.54,180.0,top
SWSlash1,259.93725,-91.59,180.0,top
SWSpc1,174.21225,-110.64,180.0,top
SWStar1,288.51225,-72.54,180.0,top
SWStart1,352.32475,-91.59,180.0,top
SWT1,150.39975,-53.49,180.0,top
SWTab1,48.006,-53.49,180.0,top
SWU1,188.49975,-53.49,180.0,top
SWV1,145.63725,-91.59,180.0,top
SWW1,93.24975,-53.49,180.0,top
SWX1,107.53725,-91.59,180.0,top
SWY1,169.44975,-53.49,180.0,top
SWZ1,88.48725,-91.59,180.0,top
