Designator,Footprint,Quantity,Value,LCSC Part #
D0,0603,1,LED,C2286
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_SOD-123,61,1N4148W,C81598
J2,Molex_200528-0260_1x26-1MP_P1.00mm_Horizontal,1,Conn_01x26,C60248
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R63, R64, R65, R67, R68, R7, R8, R9",0603,66,100,C22775
RV1,Potentiometer_Bourns_TC33X_Vertical,1,R_Potentiometer,C719174
SW0,MX-1-00U-LED,1,0, C19171394
SW1,MX-1-00U-LED,1,1, C19171394
SW2,MX-1-00U-LED,1,2, C19171394
SW3,MX-1-00U-LED,1,3, C19171394
SW4,MX-1-00U-LED,1,4, C19171394
SW5,MX-1-00U-LED,1,5, C19171394
SW6,MX-1-00U-LED,1,6, C19171394
SW7,MX-1-00U-LED,1,7, C19171394
SW8,MX-1-00U-LED,1,8, C19171394
SW9,MX-1-00U-LED,1,9, C19171394
SWA1,MX-1-00U-LED,1,A, C19171394
SWB1,MX-1-00U-LED,1,B, C19171394
SWBrk1,MX-1-25U-LED,1,Break, C19171394
SWC1,MX-1-00U-LED,1,C, C19171394
SWComma1,MX-1-00U-LED,1,Comma, C19171394
SWCps1,MX-1-75U-LED,1,Caps, C19171394
SWCtl1,MX-1-25U-LED,1,Control, C19171394
SWD1,MX-1-00U-LED,1,D, C19171394
SWDash1,MX-1-00U-LED,1,Dash, C19171394
SWDel1,MX-2-00U-LED,1,Del, C19171394
SWE1,MX-1-00U-LED,1,E, C19171394
SWEqual1,MX-1-00U-LED,1,Equal, C19171394
SWEsc1,MX-1-00U-LED,1,Esc, C19171394
SWF1,MX-1-00U-LED,1,F, C19171394
SWFn1,MX-1-00U-LED,1,F1, C19171394
SWFn2,MX-1-00U-LED,1,F2, C19171394
SWFn3,MX-1-00U-LED,1,F3, C19171394
SWFn4,MX-1-00U-LED,1,F4, C19171394
SWG1,MX-1-00U-LED,1,G, C19171394
SWGT1,MX-1-00U-LED,1,GreaterThan, C19171394
SWH1,MX-1-00U-LED,1,H, C19171394
SWHlp1,Choc-1-00U-LED,1,Help, C19171394
SWI1,MX-1-00U-LED,1,I, C19171394
SWInv1,MX-1-00U-LED,1,Inverse, C19171394
SWJ1,MX-1-00U-LED,1,J, C19171394
SWK1,MX-1-00U-LED,1,K, C19171394
SWL1,MX-1-00U-LED,1,L, C19171394
SWLT1,MX-1-00U-LED,1,LessThan, C19171394
SWLeftSft1,MX-2-25U-LED,1,Shift, C19171394
SWM1,MX-1-00U-LED,1,M, C19171394
SWN1,MX-1-00U-LED,1,N, C19171394
SWO1,MX-1-00U-LED,1,O, C19171394
SWOption1,Choc-1-00U-LED,1,Option, C19171394
SWP1,MX-1-00U-LED,1,P, C19171394
SWPeriod1,MX-1-00U-LED,1,Period, C19171394
SWPlus1,MX-1-00U-LED,1,Plus, C19171394
SWQ1,MX-1-00U-LED,1,Q, C19171394
SWR1,MX-1-00U-LED,1,R, C19171394
SWReset1,Choc-1-00U-LED,1,Reset, C19171394
SWRet2,MX-ISO-RETURN,1,Return, C19171394
SWRightSft1,MX-1-75U-LED,1,Shift, C19171394
SWS1,MX-1-00U-LED,1,S, C19171394
SWSelect1,Choc-1-00U-LED,1,Select, C19171394
SWSemi1,MX-1-00U-LED,1,Semicolon, C19171394
SWSlash1,MX-1-00U-LED,1,Slash, C19171394
SWSpc1,MX-6-25-U-LED,1,Space, C19171394
SWStar1,MX-1-00U-LED,1,Star, C19171394
SWStart1,Choc-1-00U-LED,1,Start, C19171394
SWT1,MX-1-00U-LED,1,T, C19171394
SWTab1,MX-1-50U-LED,1,Tab, C19171394
SWU1,MX-1-00U-LED,1,U, C19171394
SWV1,MX-1-00U-LED,1,V, C19171394
SWW1,MX-1-00U-LED,1,W, C19171394
SWX1,MX-1-00U-LED,1,X, C19171394
SWY1,MX-1-00U-LED,1,Y, C19171394
SWZ1,MX-1-00U-LED,1,Z, C19171394
