Designator,Mid X,Mid Y,Rotation,Layer
SW0,238.125,-38.16,0.0,top
SW1,66.675,-38.16,0.0,top
SW2,85.725,-38.16,0.0,top
SW3,104.775,-38.16,0.0,top
SW4,123.825,-38.16,0.0,top
SW5,142.875,-38.16,0.0,top
SW6,161.925,-38.16,0.0,top
SW7,180.975,-38.16,0.0,top
SW8,200.025,-38.16,0.0,top
SW9,219.075,-38.16,0.0,top
SWA1,80.9625,-76.32,0.0,top
SWB1,166.6875,-95.4,0.0,top
SWBrk1,251.221875,-114.48,0.0,top
SWBrk2,304.8,-38.16,0.0,top
SWC1,128.5875,-95.4,0.0,top
SWComma1,223.8375,-95.4,0.0,top
SWCtl1,105.965625,-114.48,0.0,top
SWCtlCaps1,54.76875,-76.32,0.0,top
SWD1,119.0625,-76.32,0.0,top
SWDash1,266.7,-57.24,0.0,top
SWE1,114.3,-57.24,0.0,top
SWEqual1,285.75,-57.24,0.0,top
SWEsc1,47.625,-38.16,0.0,top
SWF1,138.1125,-76.32,0.0,top
SWFn1,65.484375,-114.48,0.0,top
SWFn2,84.534375,-114.48,0.0,top
SWFn3,272.653125,-114.48,0.0,top
SWFn4,291.703125,-114.48,0.0,top
SWG1,157.1625,-76.32,0.0,top
SWGT1,276.225,-38.16,0.0,top
SWH1,176.2125,-76.32,0.0,top
SWI1,209.55,-57.24,0.0,top
SWInv1,314.325,-95.4,0.0,top
SWJ1,195.2625,-76.32,0.0,top
SWK1,214.3125,-76.32,0.0,top
SWL1,233.3625,-76.32,0.0,top
SWLT1,257.175,-38.16,0.0,top
SWLeftSft1,59.53125,-95.4,0.0,top
SWM1,204.7875,-95.4,0.0,top
SWN1,185.7375,-95.4,0.0,top
SWO1,228.6,-57.24,0.0,top
SWP1,247.65,-57.24,0.0,top
SWPeriod1,242.8875,-95.4,0.0,top
SWPlus1,271.4625,-76.32,0.0,top
SWQ1,76.2,-57.24,0.0,top
SWR1,133.35,-57.24,0.0,top
SWRet1,311.94375,-66.78,0.0,top
SWRightSft1,288.13125,-95.4,0.0,top
SWS1,100.0125,-76.32,0.0,top
SWSemi1,252.4125,-76.32,0.0,top
SWSlash1,261.9375,-95.4,0.0,top
SWSpc1,176.2125,-114.48,0.0,top
SWStar1,290.5125,-76.32,0.0,top
SWT1,152.4,-57.24,0.0,top
SWTab1,52.3875,-57.24,0.0,top
SWU1,190.5,-57.24,0.0,top
SWV1,147.6375,-95.4,0.0,top
SWW1,95.25,-57.24,0.0,top
SWX1,109.5375,-95.4,0.0,top
SWY1,171.45,-57.24,0.0,top
SWZ1,90.4875,-95.4,0.0,top
