Designator,Val,Mid X,Mid Y,Rotation,Side,Raw Y
R1,100,38.963165,-30.96885,0,top,-30.96885
R4,100,60.213165,-49.96885,180,top,-49.96885
R5,100,77.213165,-30.96885,0,top,-30.96885
R6,100,77.213165,-49.96885,0,top,-49.96885
R7,100,96.213165,-49.96885,0,top,-49.96885
SW1,SW_WITHLED,39.313165,-34.33885,0,top,-39.41885
SW3,SW_WITHLED,58.363165,-53.38885,0,top,-58.46885
SW4,SW_WITHLED,77.413165,-34.33885,0,top,-39.41885
SW5,SW_WITHLED,77.413165,-53.38885,0,top,-58.46885
SW6,SW_WITHLED,96.463165,-53.38885,0,top,-58.46885
