Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C15, C2, C3, C4, C42, C6, C7, C8, C9",0402,14,100nF,C1525
"C14, C5",0402,2,1uF,C52923
"C24, C25",0402,2,15pF,C1548
"C27, C28, C43",0402,3,10uF,C15525
"D2, D5, D7, D9",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,4,SK6812,C5378731
J5,USB_C_Receptacle_C2765186,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R26, R28",0402,2,27,C138021
"R30, R31, R32",0402,3,1k,C11702
"R6, R7",0402,2,5k1,C25905
"SW2, SW3",TactileSwitch,2,SW_TACTILE,C720477
U4,SOT-223-3_TabPin2,1,NCP1117-3.3,C6186
U7,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U9,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,12MHz,C9002
