Designator,Mid X,Mid Y,Rotation,Layer
C1,116.74475,-94.48045,0.0,bottom
C10,125.81255,-107.43445,0.0,bottom
C11,125.81255,-111.01585,0.0,bottom
C12,130.15595,-115.66405,0.0,bottom
C13,127.36195,-105.25005,90.0,bottom
C14,136.09955,-106.44385,180.0,bottom
C15,136.25195,-114.03845,270.0,bottom
C2,138.25855,-92.77865,180.0,bottom
C24,132.16255,-115.66405,180.0,bottom
C25,132.506297,-120.52805,180.0,bottom
C27,151.89835,-100.75425,270.0,bottom
C28,143.82115,-98.18885,270.0,bottom
C3,116.74475,-113.55585,0.0,bottom
C4,128.30175,-104.43725,90.0,bottom
C42,151.82215,-111.2757,270.0,bottom
C43,145.64995,-91.48325,270.0,bottom
C5,132.31495,-103.95465,90.0,bottom
C6,129.69875,-114.69885,0.0,bottom
C7,136.09955,-107.43445,180.0,bottom
C8,131.29895,-104.66585,90.0,bottom
C9,135.6868,-111.506,270.0,bottom
D2,121.44375,-95.24245,180.0,bottom
D5,140.49375,-95.24245,180.0,bottom
D7,121.44375,-114.29245,180.0,bottom
D9,140.49375,-114.29245,180.0,bottom
J5,130.96875,-91.0255,180.0,bottom
R26,130.2766,-104.6734,270.0,bottom
R28,129.286,-104.6734,270.0,bottom
R30,133.5786,-98.6282,90.0,bottom
R31,129.305897,-117.73405,90.0,bottom
R32,128.778,-127.254,270.0,bottom
R6,134.9756,-95.0722,180.0,bottom
R7,126.9492,-95.0976,0.0,bottom
SW2,130.9624,-96.1136,180.0,bottom
SW3,131.008129,-129.768555,180.0,bottom
U4,148.79955,-96.09395,0.0,bottom
U7,130.96875,-110.02525,0.0,bottom
U9,146.64055,-109.05835,90.0,bottom
X1,131.90075,-118.24205,180.0,bottom
