Designator,Footprint,Quantity,Value,LCSC Part #
J2,TE_Micro-MaTch_1-215079-8_2x09_P1.27mm_Vertical,1,Conn_02x09_Odd_Even,
J3,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Conn_01x04,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R4, R5, R6, R7, R8, R9",603,30,100,C22775 
RV1,Potentiometer_Piher_PT-6-V_Vertical,1,2k,
RV2,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,1M,
SW1,MX-1-00U-LED,1,Minus,C193191
SW10,MX-1-00U-LED,1,1,C193191
SW11,MX-1-00U-LED,1,Yes,C193191
SW12,MX-1-50U-Atari-Fn-LED,1,F2,C193191
SW13,MX-1-50U-Atari-Fn-LED,1,F4,C193191
SW14,MX-1-00U-LED,1,LEFT,C193191
SW15,MX-1-00U-LED,1,9,C193191
SW16,MX-1-00U-LED,1,8,C193191
SW17,MX-1-00U-LED,1,7,C193191
SW18,MX-1-00U-LED,1,No,C193191
SW19,MX-1-00U-LED,1,UP,C193191
SW2,MX-2-00U-VERT-LED,1,Enter,C193191
SW20,MX-1-00U-LED,1,DOWN,C193191
SW21,MX-1-00U-LED,1,6,C193191
SW22,MX-1-00U-LED,1,5,C193191
SW23,MX-1-00U-LED,1,4,C193191
SW24,MX-1-50U-LED,1,Del,C193191
SW25,MX-1-00U-LED,1,RIGHT,C193191
SW26,MX-1-00U-LED,1,Slash,C193191
SW27,MX-1-00U-LED,1,Star,C193191
SW28,MX-1-00U-LED,1,Plus,C193191
SW29,MX-1-50U-LED,1,Esc,C193191
SW3,MX-1-00U-LED,1,Period,C193191
"SW30, SW7",MX-1-00U-LED,2,TRIGGER,C193191
SW4,MX-2-00U-LED,1,0,C193191
SW5,MX-1-50U-Atari-Fn-LED,1,F1,C193191
SW6,MX-1-50U-Atari-Fn-LED,1,F3,C193191
SW8,MX-1-00U-LED,1,3,C193191
SW9,MX-1-00U-LED,1,2,C193191
