Designator,Mid X,Mid Y,Rotation,Layer
J2,151.7,-53.6,270.0,top
R1,157.1625,-82.153125,180.0,top
R10,100.0125,-120.253125,180.0,top
R11,100.0125,-63.103125,180.0,top
R12,133.4,-32.1,180.0,top
R13,161.925,-32.146875,180.0,top
R14,38.1,-101.203125,180.0,top
R15,138.1125,-82.153125,180.0,top
R16,119.0625,-82.153125,180.0,top
R17,100.0125,-82.153125,180.0,top
R18,119.0625,-63.103125,180.0,top
R19,57.15,-82.153125,180.0,top
R2,157.1625,-120.253125,180.0,top
R20,57.15,-101.203125,180.0,top
R21,138.1125,-101.203125,180.0,top
R22,119.0625,-101.203125,180.0,top
R23,100.0125,-101.203125,180.0,top
R24,71.4375,-63.103125,180.0,top
R25,76.2,-101.203125,180.0,top
R26,138.1125,-63.103125,180.0,top
R27,157.1625,-63.103125,180.0,top
R28,157.1625,-101.203125,180.0,top
R29,42.8625,-63.103125,180.0,top
R3,138.1125,-139.303125,180.0,top
R30,76.2,-82.153125,180.0,top
R4,109.5375,-139.303125,180.0,top
R5,76.2,-32.146875,180.0,top
R6,104.9,-32.1,180.0,top
R7,38.1,-82.153125,180.0,top
R8,138.1125,-120.253125,180.0,top
R9,119.0625,-120.253125,180.0,top
RV2,45.3625,-47.305,90.0,top
SW1,157.1625,-85.725,0.0,top
SW10,100.0125,-123.825,0.0,top
SW11,100.0125,-66.675,0.0,top
SW12,104.775,-35.225,0.0,top
SW13,161.925,-35.225,0.0,top
SW14,38.1,-104.775,0.0,top
SW15,138.1125,-85.725,0.0,top
SW16,119.0625,-85.725,0.0,top
SW17,100.0125,-85.725,0.0,top
SW18,119.0625,-66.675,0.0,top
SW19,57.15,-85.725,0.0,top
SW2,157.1625,-133.35,0.0,top
SW20,57.15,-104.775,0.0,top
SW21,138.1125,-104.775,0.0,top
SW22,119.0625,-104.775,0.0,top
SW23,100.0125,-104.775,0.0,top
SW24,71.4375,-66.675,0.0,top
SW25,76.2,-104.775,0.0,top
SW26,138.1125,-66.675,0.0,top
SW27,157.1625,-66.675,0.0,top
SW28,157.1625,-104.775,0.0,top
SW29,42.8625,-66.675,0.0,top
SW3,138.1125,-142.875,0.0,top
SW30,76.2,-85.725,0.0,top
SW4,109.5375,-142.875,0.0,top
SW5,76.2,-35.225,0.0,top
SW6,133.35,-35.225,0.0,top
SW7,38.1,-85.725,0.0,top
SW8,138.1125,-123.825,0.0,top
SW9,119.0625,-123.825,0.0,top
