"Comment","Designator","Footprint","JLCPCB Part #","Quantity"
"100","R6,R28,R11,R24,R16,R17,R14,R20,R19,R1,R29,R25,R21,R7,R12,R13,R10,R23,R27,R8,R22,R5,R3,R30,R26,R18,R2,R4,R15,R9","R_0603_1608Metric","C22775","30"
"3","SW8","MX-1-00U-LED","C193191","1"
"F1","SW5","MX-1-50U-Atari-Fn-LED","C193191","1"
"4","SW23","MX-1-00U-LED","C193191","1"
"0","SW4","MX-2-00U-LED","C193191","1"
"Yes","SW11","MX-1-00U-LED","C193191","1"
"Star","SW27","MX-1-00U-LED","C193191","1"
"No","SW18","MX-1-00U-LED","C193191","1"
"TRIGGER","SW30,SW7","MX-1-00U-LED","C193191","2"
"F3","SW6","MX-1-50U-Atari-Fn-LED","C193191","1"
"2","SW9","MX-1-00U-LED","C193191","1"
"8","SW16","MX-1-00U-LED","C193191","1"
"Enter","SW2","MX-2-00U-VERT-LED","C193191","1"
"9","SW15","MX-1-00U-LED","C193191","1"
"Period","SW3","MX-1-00U-LED","C193191","1"
"F4","SW13","MX-1-50U-Atari-Fn-LED","C193191","1"
"Esc","SW29","MX-1-50U-LED","C193191","1"
"Del","SW24","MX-1-50U-LED","C193191","1"
"Slash","SW26","MX-1-00U-LED","C193191","1"
"DOWN","SW20","MX-1-00U-LED","C193191","1"
"7","SW17","MX-1-00U-LED","C193191","1"
"6","SW21","MX-1-00U-LED","C193191","1"
"5","SW22","MX-1-00U-LED","C193191","1"
"RIGHT","SW25","MX-1-00U-LED","C193191","1"
"F2","SW12","MX-1-50U-Atari-Fn-LED","C193191","1"
"UP","SW19","MX-1-00U-LED","C193191","1"
"Minus","SW1","MX-1-00U-LED","C193191","1"
"2k","RV1","Potentiometer_Piher_PT-6-V_Vertical";;"1"
"Plus","SW28","MX-1-00U-LED","C193191","1"
"1","SW10","MX-1-00U-LED","C193191","1"
"LEFT","SW14","MX-1-00U-LED","C193191","1"
"Conn_02x08_Odd_Even","J2","IDC-Header_2x08_P2.54mm_Horizontal";;"1"
"Conn_01x04","J3","JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";;"1"
