Designator,MidX,MidY,Layer,Rotation
R1,157.162500,-82.153125,top,180.000000
R2,157.162500,-120.253125,top,180.000000
R3,138.112500,-139.303125,top,180.000000
R4,109.537500,-139.303125,top,180.000000
R5,76.200000,-32.146875,top,180.000000
R6,133.350000,-32.146875,top,180.000000
R7,38.100000,-82.153125,top,180.000000
R8,138.112500,-120.253125,top,180.000000
R9,119.062500,-120.253125,top,180.000000
R10,100.012500,-120.253125,top,180.000000
R11,100.012500,-63.103125,top,180.000000
R12,104.775000,-32.146875,top,180.000000
R13,161.925000,-32.146875,top,180.000000
R14,38.100000,-101.203125,top,180.000000
R15,138.112500,-82.153125,top,180.000000
R16,119.062500,-82.153125,top,180.000000
R17,100.012500,-82.153125,top,180.000000
R18,119.062500,-63.103125,top,180.000000
R19,57.150000,-82.153125,top,180.000000
R20,57.150000,-101.203125,top,180.000000
R21,138.112500,-101.203125,top,180.000000
R22,119.062500,-101.203125,top,180.000000
R23,100.012500,-101.203125,top,180.000000
R24,71.437500,-63.103125,top,180.000000
R25,76.200000,-101.203125,top,180.000000
R26,138.112500,-63.103125,top,180.000000
R27,157.162500,-63.103125,top,180.000000
R28,157.162500,-101.203125,top,180.000000
R29,42.862500,-63.103125,top,180.000000
R30,76.200000,-82.153125,top,180.000000
RV1,47.625000,-57.150000,top,90.000000
SW1,157.162500,-85.725000,top,180
SW2,157.162500,-133.350000,top,180
SW3,138.112500,-142.875000,top,180
SW4,109.537500,-142.875000,top,180
SW5,76.200000,-35.225000,top,180
SW6,133.350000,-35.225000,top,180
SW7,38.100000,-85.725000,top,180
SW8,138.112500,-123.825000,top,180
SW9,119.062500,-123.825000,top,180
SW10,100.012500,-123.825000,top,180
SW11,100.012500,-66.675000,top,180
SW12,104.775000,-35.225000,top,180
SW13,161.925000,-35.225000,top,180
SW14,38.100000,-104.775000,top,180
SW15,138.112500,-85.725000,top,180
SW16,119.062500,-85.725000,top,180
SW17,100.012500,-85.725000,top,180
SW18,119.062500,-66.675000,top,180
SW19,57.150000,-85.725000,top,180
SW20,57.150000,-104.775000,top,180
SW21,138.112500,-104.775000,top,180
SW22,119.062500,-104.775000,top,180
SW23,100.012500,-104.775000,top,180
SW24,71.437500,-66.675000,top,180
SW25,76.200000,-104.775000,top,180
SW26,138.112500,-66.675000,top,180
SW27,157.162500,-66.675000,top,180
SW28,157.162500,-104.775000,top,180
SW29,42.862500,-66.675000,top,180
SW30,76.200000,-85.725000,top,180
