Designator,Footprint,Quantity,Value,LCSC Part #
J2,IDC-Header_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
J3,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Conn_01x04,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R4, R5, R6, R7, R8, R9",0603,30,100,
RV1,Potentiometer_Piher_PT-6-V_Vertical,1,2k,
SW1,MX-1-00U-LED,1,Minus,
SW10,MX-1-00U-LED,1,1,
SW11,MX-1-00U-LED,1,Yes,
SW12,MX-1-50U-Atari-Fn-LED,1,F2,
SW13,MX-1-50U-Atari-Fn-LED,1,F4,
SW14,MX-1-00U-LED,1,LEFT,
SW15,MX-1-00U-LED,1,9,
SW16,MX-1-00U-LED,1,8,
SW17,MX-1-00U-LED,1,7,
SW18,MX-1-00U-LED,1,No,
SW19,MX-1-00U-LED,1,UP,
SW2,MX-2-00U-VERT-LED,1,Enter,
SW20,MX-1-00U-LED,1,DOWN,
SW21,MX-1-00U-LED,1,6,
SW22,MX-1-00U-LED,1,5,
SW23,MX-1-00U-LED,1,4,
SW24,MX-1-50U-LED,1,Del,
SW25,MX-1-00U-LED,1,RIGHT,
SW26,MX-1-00U-LED,1,Slash,
SW27,MX-1-00U-LED,1,Star,
SW28,MX-1-00U-LED,1,Plus,
SW29,MX-1-50U-LED,1,Esc,
SW3,MX-1-00U-LED,1,Period,
"SW30, SW7",MX-1-00U-LED,2,TRIGGER,
SW4,MX-2-00U-LED,1,0,
SW5,MX-1-50U-Atari-Fn-LED,1,F1,
SW6,MX-1-50U-Atari-Fn-LED,1,F3,
SW8,MX-1-00U-LED,1,3,
SW9,MX-1-00U-LED,1,2,
