Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",0402,4,0.1uF,C1525
C2,0402,1,10pF,C32949
C6,0402,1,10uF,C15525
C7,C_Elec_4x5.4,1,22uF,C98746
D1,D_SOD-123,1,SM4007PL,C64898
J1,DIP-40_W15.24mm_Socket,1,GTIA,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Power,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Video out,
"Q1, Q2",SOT-23,2,NPN,C2145
"R1, R2, R22, R24, R3, R4, R5",0402,7,1k,C11702
R10,0402,1,18k,C25762
R11,0402,1,1.6k,C4908
R12,0402,1,10,C25077
R13,0402,1,2k,C4109
"R14, R15, R16, R17, R18",0402,5,75,C25133
"R19, R21, R8",0402,3,4.7k,C25900
R20,0402,1,10k,C25744
R23,0402,1,6.2k,C137946
R6,0402,1,750,C25132
R7,0402,1,36k,C43676
R9,0402,1,9.1k,C25926
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,4050,C131932
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,FMS6410B,C3823926
