Designator,Mid X,Mid Y,Rotation,Layer
C1,45.1612,-53.2892,0.0,top
C2,52.578,-45.466,90.0,top
C3,49.53,-45.466,270.0,top
C4,58.547,-52.8828,270.0,top
C5,33.9598,-43.6118,90.0,top
C6,34.9392,-43.6118,90.0,top
C7,30.48,-36.83,180.0,top
D1,50.546,-52.197,180.0,top
J1,46.99,-48.26,90.0,top
J2,24.135,-36.83,90.0,top
J3,41.9,-36.83,90.0,top
Q1,45.3277,-47.8282,90.0,top
Q2,50.927,-48.133,0.0,top
R1,61.087,-52.8828,270.0,top
R10,63.627,-43.4848,270.0,top
R11,44.3738,-44.8818,90.0,top
R12,45.4152,-44.8818,90.0,top
R13,45.1499,-50.292,180.0,top
R14,45.1499,-52.324,180.0,top
R15,45.1499,-51.308,180.0,top
R16,33.0342,-43.6372,90.0,top
R17,35.8902,-43.6372,270.0,top
R18,36.9174,-43.6372,90.0,top
R19,59.817,-52.8828,90.0,top
R2,66.167,-52.8828,90.0,top
R20,51.562,-45.466,270.0,top
R21,50.165,-50.419,180.0,top
R22,51.562,-43.561,90.0,top
R23,50.546,-45.466,90.0,top
R24,48.26,-50.419,180.0,top
R3,67.437,-43.4848,270.0,top
R4,64.897,-43.4848,270.0,top
R5,61.087,-43.4848,270.0,top
R6,47.244,-52.197,0.0,top
R7,59.817,-43.4848,270.0,top
R8,64.897,-52.8828,90.0,top
R9,66.167,-43.4848,270.0,top
U1,62.992,-48.1838,0.0,top
U2,35.0124,-48.26,0.0,top
