Designator,Mid X,Mid Y,Rotation,Layer
C1,125.45,-43.6123,270.0,top
C10,214.51,-199.5223,270.0,top
C11,170.63,-179.1223,90.0,top
C12,170.31,-160.5723,270.0,top
C13,170.6,-140.1523,90.0,top
C14,215.59,-121.5623,270.0,top
C15,238.08,-101.1623,90.0,top
C16,91.875,-101.6603,90.0,top
C17,102.98,-82.6523,270.0,top
C18,114.375,-62.6883,90.0,top
C19,192.83,-199.5023,270.0,top
C2,193.18,-179.1423,90.0,top
C20,148.125,-179.1423,90.0,top
C21,147.94,-160.5223,270.0,top
C22,148.14,-140.1823,90.0,top
C23,193.1,-121.5823,270.0,top
C24,215.6,-101.1923,90.0,top
C25,226.875,-82.5823,270.0,top
C26,215.64,-62.2323,90.0,top
C27,215.61,-43.6423,270.0,top
C28,170.2,-199.5023,270.0,top
C29,125.59,-179.1723,90.0,top
C3,193.14,-160.5223,270.0,top
C30,125.39,-160.5223,270.0,top
C31,125.61,-140.1823,90.0,top
C32,170.58,-121.5823,270.0,top
C33,193.125,-101.1923,90.0,top
C34,215.41,-82.6323,270.0,top
C35,193.14,-62.2023,90.0,top
C36,193.14,-43.6123,270.0,top
C37,147.35,-199.5523,270.0,top
C38,113.99,-179.6023,90.0,top
C39,102.63,-160.4723,270.0,top
C4,193.13,-140.1823,90.0,top
C40,103.11,-140.1523,90.0,top
C41,148.15,-121.5623,270.0,top
C42,170.65,-101.2123,90.0,top
C43,193.17,-82.6323,270.0,top
C44,170.64,-62.2323,90.0,top
C45,170.64,-43.6423,270.0,top
C46,124.65,-199.5723,270.0,top
C47,236.98,-160.5523,270.0,top
C48,238.13,-140.1523,90.0,top
C49,91.78,-140.5523,90.0,top
C5,238.09,-121.5823,270.0,top
C50,125.61,-121.5623,270.0,top
C51,148.12,-101.2123,90.0,top
C52,170.62,-82.6523,270.0,top
C53,148.1,-62.2323,90.0,top
C54,148.1,-43.6423,270.0,top
C55,215.7,-179.1223,90.0,top
C56,215.43,-160.5723,270.0,top
C57,215.65,-140.1823,90.0,top
C58,250.22,-121.2523,270.0,top
C59,103.06,-121.5623,270.0,top
C6,80.38,-121.5823,270.0,top
C60,125.61,-101.2123,90.0,top
C61,148.22,-82.6523,270.0,top
C7,103.13,-101.2123,90.0,top
C8,125.63,-82.6323,270.0,top
C9,125.6,-62.2323,90.0,top
D1,120.0,-43.2023,180.0,top
D10,131.25,-62.6883,0.0,top
D11,108.75,-62.6883,0.0,top
D12,97.5,-82.1743,180.0,top
D13,120.0,-82.1743,180.0,top
D14,142.5,-82.1743,180.0,top
D15,165.0,-82.1743,180.0,top
D16,187.5,-82.1743,180.0,top
D17,210.0,-82.1743,180.0,top
D18,232.5,-82.1743,180.0,top
D19,243.75,-101.6603,0.0,top
D2,142.5,-43.2023,180.0,top
D20,221.25,-101.6603,0.0,top
D21,198.75,-101.6603,0.0,top
D22,176.25,-101.6603,0.0,top
D23,153.75,-101.6603,0.0,top
D24,131.25,-101.6603,0.0,top
D25,108.75,-101.6603,0.0,top
D26,86.25,-101.6603,0.0,top
D27,97.5,-160.1183,180.0,top
D28,120.0,-160.1183,180.0,top
D29,142.5,-160.1183,180.0,top
D3,165.0,-43.2023,180.0,top
D30,165.0,-160.1183,180.0,top
D31,187.5,-160.1183,180.0,top
D32,210.0,-160.1183,180.0,top
D33,232.5,-160.1183,180.0,top
D34,221.25,-179.6043,0.0,top
D35,198.75,-179.6043,0.0,top
D36,176.25,-179.6043,0.0,top
D37,153.75,-179.6043,0.0,top
D38,131.25,-179.6043,0.0,top
D39,108.75,-179.6043,0.0,top
D4,187.5,-43.2023,180.0,top
D40,120.0,-199.0903,180.0,top
D41,142.5,-199.0903,180.0,top
D42,165.0,-199.0903,180.0,top
D43,187.5,-199.0903,180.0,top
D44,210.0,-199.0903,180.0,top
D45,97.5,-121.1463,180.0,top
D46,120.0,-121.1463,180.0,top
D47,142.5,-121.1463,180.0,top
D48,165.0,-121.1463,180.0,top
D49,187.5,-121.1463,180.0,top
D5,210.0,-43.2023,180.0,top
D50,210.0,-121.1463,180.0,top
D51,232.5,-121.1463,180.0,top
D52,255.0,-121.1463,180.0,top
D53,75.0,-121.1463,180.0,top
D54,243.75,-140.6323,0.0,top
D55,221.25,-140.6323,0.0,top
D56,198.75,-140.6323,0.0,top
D57,176.25,-140.6323,0.0,top
D58,153.75,-140.6323,0.0,top
D59,131.25,-140.6323,0.0,top
D6,221.25,-62.6883,0.0,top
D60,108.75,-140.6323,0.0,top
D61,86.25,-140.6323,0.0,top
D7,198.75,-62.6883,0.0,top
D8,176.25,-62.6883,0.0,top
D9,153.75,-62.6883,0.0,top
J1,103.124999,-199.0903,270.0,top
J2,226.875,-43.2023,90.0,top
