Designator,Mid X,Mid Y,Rotation,Layer
C1,104.4448,-40.005,225.0,top
C10,112.0394,-36.7792,315.0,top
C100,120.0,-50.0,180.0,top
C101,106.0,-66.0,180.0,top
C102,102.0,-66.0,180.0,top
C103,110.0,-66.0,180.0,top
C104,80.5,-66.0,180.0,top
C105,50.5,-66.0,180.0,top
C106,45.5,-66.0,180.0,top
C107,124.0,-50.0,180.0,top
C108,128.0,-50.0,180.0,top
C109,116.0,-54.0,180.0,top
C11,112.7252,-36.0934,315.0,top
C110,124.0,-54.0,180.0,top
C111,120.0,-54.0,180.0,top
C112,128.9558,-55.9816,0.0,top
C113,116.0,-58.0,180.0,top
C114,120.0,-58.0,180.0,top
C115,124.0,-58.0,180.0,top
C116,116.0,-62.0,180.0,top
C117,120.0,-62.0,180.0,top
C118,124.0,-62.0,180.0,top
C119,128.9304,-63.9826,0.0,top
C12,97.1296,-35.0266,0.0,top
C120,118.0,-66.0,180.0,top
C121,124.0,-66.0,180.0,top
C122,134.9502,-66.1924,0.0,top
C123,134.9502,-62.0,0.0,top
C124,134.9502,-57.9882,0.0,top
C125,134.9502,-54.0,0.0,top
C126,134.9502,-50.0,0.0,top
C127,120.0,-45.0,180.0,top
C128,116.0,-45.0,180.0,top
C129,128.0,-45.0,180.0,top
C13,97.7646,-40.2082,0.0,top
C14,101.6254,-21.971,270.0,top
C15,125.5,-30.0,0.0,top
C16,130.011242,-41.0,0.0,top
C17,130.0,-40.0,0.0,top
C18,48.0,-45.0,180.0,top
C19,52.0,-45.0,180.0,top
C2,103.7844,-39.3446,225.0,top
C20,56.0,-45.0,180.0,top
C21,60.0,-45.0,180.0,top
C22,66.0,-45.0,180.0,top
C23,70.0,-45.0,180.0,top
C24,74.0,-45.0,180.0,top
C25,78.0,-45.0,180.0,top
C26,84.0,-45.0,180.0,top
C27,88.075,-45.0,180.0,top
C28,92.0,-45.0,180.0,top
C29,96.0,-45.0,180.0,top
C3,111.9632,-33.1724,0.0,top
C30,40.0,-45.0,180.0,top
C31,102.0,-45.0,180.0,top
C32,106.0,-45.0,180.0,top
C33,110.0,-45.0,180.0,top
C34,40.0,-50.0,180.0,top
C35,44.0,-50.0,180.0,top
C36,48.0,-50.0,180.0,top
C37,52.0,-50.0,180.0,top
C38,56.0,-50.0,180.0,top
C39,60.0,-50.0,180.0,top
C4,105.029,-29.4894,135.0,top
C40,64.0,-50.0,180.0,top
C41,68.0,-50.0,180.0,top
C42,72.0,-50.0,180.0,top
C43,76.0,-50.0,180.0,top
C44,80.0,-50.0,180.0,top
C45,84.0,-50.0,180.0,top
C46,88.0,-50.0,180.0,top
C47,94.0,-50.0,180.0,top
C48,102.0,-50.0,180.0,top
C49,106.0,-50.0,180.0,top
C5,110.1598,-31.369,90.0,top
C50,110.0,-50.0,180.0,top
C51,95.0,-54.0,180.0,top
C52,41.0,-54.0,180.0,top
